Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq54 Roseburia;sp33143	1e-06	0.0009	1e-06	1e-06	1e-06	0.0013	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq30 Roseburia;sp33143	1e-06	0.0015	1e-06	0.0004	1e-06	0.0025	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq9 Roseburia;sp33152	1e-06	1e-06	1e-06	0.0027	0.0011	0.0329	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0026	1e-06	1e-06
seq28 Roseburia;sp33177	1e-06	1e-06	1e-06	0.0006	1e-06	0.005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq83 Roseburia;sp33177	1e-06	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
