Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq5 Microbacteriaceae;Microbacterium;aerolatum-sp6882	0.0593	0.0385	0.0306	0.0517	0.0218	0.0159	0.031	0.0442	0.0392	0.0294	0.0364	0.0297	0.0253	0.0462	0.0476	0.0344
seq150 Microbacteriaceae;Microbacterium;aerolatum-sp6882	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0008	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
