	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
mim16.m1c3t	0	0.134577057398949	0.0960181456053165	0.0734251330484786	0.133512406665773	0.500007636661072	0.0838752251339388	0.0644143446081138	0.0581039760575312	0.0837335351088667	0.080233884001991	0.0756282881784637	0.0729543071005613	0.0786050270716057	0.0399549826877233	0.0801003121330045
mim16.m2c3t	0.134577057398949	0	0.090308743922498	0.124720715712626	0.087095931111395	0.392971591632938	0.116437018759057	0.107567488529606	0.13455734072895	0.155925242014865	0.0836970720678685	0.0759463183761925	0.145010192601188	0.0951617746162704	0.10421171876939	0.115058896173859
mim16.m3c3t	0.0960181456053165	0.090308743922498	0	0.0906332854769605	0.0644915824766981	0.462606702564568	0.0637642864988145	0.0753146532321532	0.0721371662778933	0.15266452480773	0.0687816345277317	0.0672139448509566	0.142253203834887	0.0374976507649492	0.0702298906543464	0.0535992473025074
mim16.m1c4t	0.0734251330484786	0.124720715712626	0.0906332854769605	0	0.144495392705342	0.478388224536342	0.0303769733159274	0.0317531732379068	0.0339200403305124	0.148884585266773	0.0944675366096082	0.076314453619665	0.139113861123065	0.0579011564388704	0.0578714381285971	0.0425638437118068
mim16.m2c4t	0.133512406665773	0.087095931111395	0.0644915824766981	0.144495392705342	0	0.427740717353858	0.118962080487792	0.130902365899823	0.132366427720791	0.158986157156764	0.0802171630406621	0.0831010047940646	0.140548448689875	0.0949226195011846	0.0993871020245438	0.111946536167648
mim16.m3c4t	0.500007636661072	0.392971591632938	0.462606702564568	0.478388224536342	0.427740717353858	0	0.477438804002599	0.468540426094157	0.502742762853301	0.475177393504632	0.467900592820975	0.445029388502084	0.47507764585055	0.473025900409223	0.484735996938333	0.482219556992945
mim16.m1c1l	0.0838752251339388	0.116437018759057	0.0637642864988145	0.0303769733159274	0.118962080487792	0.477438804002599	0	0.0363634136547578	0.0298189879748173	0.138516996532462	0.0740823439049317	0.0539862111636796	0.128076464570189	0.0509811069133558	0.0601330361461675	0.0204658057997701
mim16.m2c1l	0.0644143446081138	0.107567488529606	0.0753146532321532	0.0317531732379068	0.130902365899823	0.468540426094157	0.0363634136547578	0	0.0362131488133322	0.132693050209366	0.0760401836783675	0.0622395276719878	0.122368629598394	0.0470725056860791	0.0458417967745245	0.0417803493101068
mim16.m3c1l	0.0581039760575312	0.13455734072895	0.0721371662778933	0.0339200403305124	0.132366427720791	0.502742762853301	0.0298189879748173	0.0362131488133322	0	0.117372999521954	0.0776701667938753	0.0749760052461316	0.106958694031189	0.0531408956402845	0.0453122725342524	0.0305521346868451
mim16.m3c2l	0.0837335351088667	0.155925242014865	0.15266452480773	0.148884585266773	0.158986157156764	0.475177393504632	0.138516996532462	0.132693050209366	0.117372999521954	0	0.118603619350847	0.113557702975508	0.02162349929395	0.150786070566898	0.100394711483107	0.138077654994073
mim16.m1c3l	0.080233884001991	0.0836970720678685	0.0687816345277317	0.0944675366096082	0.0802171630406621	0.467900592820975	0.0740823439049317	0.0760401836783675	0.0776701667938753	0.118603619350847	0	0.0407763700769351	0.107644048491205	0.0624122127050706	0.0454113820850945	0.0626387471376535
mim16.m2c3l	0.0756282881784637	0.0759463183761925	0.0672139448509566	0.076314453619665	0.0831010047940646	0.445029388502084	0.0539862111636796	0.0622395276719878	0.0749760052461316	0.113557702975508	0.0407763700769351	0	0.103299645306289	0.0673702842157102	0.0428470123329654	0.0528715834313792
mim16.m3c3l	0.0729543071005613	0.145010192601188	0.142253203834887	0.139113861123065	0.140548448689875	0.47507764585055	0.128076464570189	0.122368629598394	0.106958694031189	0.02162349929395	0.107644048491205	0.103299645306289	0	0.140068672587928	0.0895833190051701	0.127518606935457
mim16.m1c4l	0.0786050270716057	0.0951617746162704	0.0374976507649492	0.0579011564388704	0.0949226195011846	0.473025900409223	0.0509811069133558	0.0470725056860791	0.0531408956402845	0.150786070566898	0.0624122127050706	0.0673702842157102	0.140068672587928	0	0.0526813514696449	0.0368532637953136
mim16.m2c4l	0.0399549826877233	0.10421171876939	0.0702298906543464	0.0578714381285971	0.0993871020245438	0.484735996938333	0.0601330361461675	0.0458417967745245	0.0453122725342524	0.100394711483107	0.0454113820850945	0.0428470123329654	0.0895833190051701	0.0526813514696449	0	0.0550959739242483
mim16.m3c4l	0.0801003121330045	0.115058896173859	0.0535992473025074	0.0425638437118068	0.111946536167648	0.482219556992945	0.0204658057997701	0.0417803493101068	0.0305521346868451	0.138077654994073	0.0626387471376535	0.0528715834313792	0.127518606935457	0.0368532637953136	0.0550959739242483	0
