	mim16.m1c4l	mim16.m3c1l	mim16.m3c4t	mim16.m2c4l	mim16.m2c1l	mim16.m2c3t	mim16.m3c3l	mim16.m1c3t	mim16.m1c1l	mim16.m2c3l	mim16.m3c3t	mim16.m1c3l	mim16.m1c4t	mim16.m3c4l	mim16.m3c2l	mim16.m2c4t
mim16.m1c4l	0.0	0.012458344985	0.191346828327	0.0256472656111	0.0226565419384	0.0324239763638	0.0595313189342	0.0389651441767	0.0082500303726	0.0215211723896	0.018211606567	0.0239613125694	0.0121517123951	0.00542459041954	0.0656655856877	0.0252798195995
mim16.m3c1l	0.012458344985	0.0	0.191188217681	0.0174484650377	0.0160827522957	0.0335718600386	0.0472427880308	0.0311453235493	0.0121288483548	0.0138247177117	0.0230615605059	0.014429809611	0.013326160918	0.0114097729361	0.0533355527244	0.0316999035731
mim16.m3c4t	0.191346828327	0.191188217681	0.0	0.190076267098	0.177083487004	0.161689483806	0.184426027203	0.18703913615	0.184861574077	0.177664485095	0.195507896366	0.184937490247	0.182139903242	0.189772476951	0.186195308724	0.192311314327
mim16.m2c4l	0.0256472656111	0.0174484650377	0.190076267098	0.0	0.0151377682468	0.0302874191366	0.0350962281416	0.0149019408985	0.0291678663196	0.0155492663081	0.0402372666688	0.0142307288554	0.019492341741	0.0286483988176	0.0412387665225	0.0482966454322
mim16.m2c1l	0.0226565419384	0.0160827522957	0.177083487004	0.0151377682468	0.0	0.0188211642273	0.0462386229565	0.0279497221691	0.0217384836746	0.00676338964583	0.0366011230994	0.00881060090961	0.0125506185581	0.0233182758122	0.052322283204	0.0424498647772
mim16.m2c3t	0.0324239763638	0.0335718600386	0.161689483806	0.0302874191366	0.0188211642273	0.0	0.0520557062628	0.0337824648403	0.0301764996275	0.0231748112947	0.0428146006189	0.0257088733431	0.0234889351195	0.0335673341818	0.0581948255361	0.0478464551192
mim16.m3c3l	0.0595313189342	0.0472427880308	0.184426027203	0.0350962281416	0.0462386229565	0.0520557062628	0.0	0.0239427888767	0.0560660457845	0.0429859979882	0.0691321120764	0.0448643206215	0.0532114543348	0.0571443386148	0.0087836874764	0.074717861407
mim16.m1c3t	0.0389651441767	0.0311453235493	0.18703913615	0.0149019408985	0.0279497221691	0.0337824648403	0.0239427888767	0.0	0.0424588541521	0.0287920373202	0.0538830663058	0.0276980318982	0.0323569894896	0.0419165720874	0.0301079031205	0.0619323430012
mim16.m1c1l	0.0082500303726	0.0121288483548	0.184861574077	0.0291678663196	0.0217384836746	0.0301764996275	0.0560660457845	0.0424588541521	0.0	0.0166361096263	0.0174481608191	0.0229793776587	0.0145054373765	0.0057536526888	0.0631777846404	0.0214508518588
mim16.m2c3l	0.0215211723896	0.0138247177117	0.177664485095	0.0155492663081	0.00676338964583	0.0231748112947	0.0429859979882	0.0287920373202	0.0166361096263	0.0	0.0322953461702	0.0101654295598	0.0120004376944	0.0192253150509	0.049391347827	0.0368668397503
mim16.m3c3t	0.018211606567	0.0230615605059	0.195507896366	0.0402372666688	0.0366011230994	0.0428146006189	0.0691321120764	0.0538830663058	0.0174481608191	0.0322953461702	0.0	0.0368357185021	0.0295650848413	0.0158502870569	0.0751350050869	0.00911679615437
mim16.m1c3l	0.0239613125694	0.014429809611	0.184937490247	0.0142307288554	0.00881060090961	0.0257088733431	0.0448643206215	0.0276980318982	0.0229793776587	0.0101654295598	0.0368357185021	0.0	0.0145296867777	0.024253171501	0.0511635855217	0.0430045349778
mim16.m1c4t	0.0121517123951	0.013326160918	0.182139903242	0.019492341741	0.0125506185581	0.0234889351195	0.0532114543348	0.0323569894896	0.0145054373765	0.0120004376944	0.0295650848413	0.0145296867777	0.0	0.0163876285754	0.0593894762629	0.0350933194856
mim16.m3c4l	0.00542459041954	0.0114097729361	0.189772476951	0.0286483988176	0.0233182758122	0.0335673341818	0.0571443386148	0.0419165720874	0.0057536526888	0.0192253150509	0.0158502870569	0.024253171501	0.0163876285754	0.0	0.063093521991	0.0226952878482
mim16.m3c2l	0.0656655856877	0.0533355527244	0.186195308724	0.0412387665225	0.052322283204	0.0581948255361	0.0087836874764	0.0301079031205	0.0631777846404	0.049391347827	0.0751350050869	0.0511635855217	0.0593894762629	0.063093521991	0.0	0.0824068742098
mim16.m2c4t	0.0252798195995	0.0316999035731	0.192311314327	0.0482966454322	0.0424498647772	0.0478464551192	0.074717861407	0.0619323430012	0.0214508518588	0.0368668397503	0.00911679615437	0.0430045349778	0.0350933194856	0.0226952878482	0.0824068742098	0.0
