# Constructed from biom file
#OTU ID	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
None;Other;Other;Other;Other;Other	0.0556795734498	0.155671214892	0.1811529415	0.0210346559518	0.260501995379	0.210278208345	0.0733166955282	0.0515130453379	0.0621608704209	0.149914015477	0.15132055204	0.139284914533	0.153208955224	0.122903417933	0.122533388059	0.0930853007821
k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__NA;g__Pyrinomonas	0.0	0.0	0.000275099379651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00310580762674	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.0	0.0	0.000866414618778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000634017944629	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus	0.402042815617	0.295071974492	0.286474738999	0.358011049724	0.256406217181	0.141245465731	0.344733625344	0.359923011121	0.36900109646	0.424505588994	0.328608458072	0.337687541987	0.412910447761	0.313339353302	0.355413127901	0.337164680944
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium	0.0593412240834	0.0385895812819	0.0306735808311	0.0517729784028	0.021870405377	0.0159158823247	0.0310940205766	0.0442686056459	0.0392476594788	0.0303525365434	0.0364990775985	0.0297330248065	0.0253731343284	0.0462833099579	0.0476431029584	0.0344273079453
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium	0.0	0.0	0.0	0.0	0.000420079815165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149253731343	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0	0.0	0.0	0.000662983425414	0.0	0.00100672749644	0.0	0.00034751924722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0224441631109	0.000495178883372	0.0069311903566	0.00346565847511	0.151728215536	0.00422736070083	0.00638900769889	0.0	0.0	0.00273217663405	0.00537433753825	0.0	0.000422678629753	0.0	0.00100504349097
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00198491464867	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0.0	0.0	0.0	0.0	0.0	0.000479394045926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.000690574461593	0.00704896766227	0.0	0.000883977900552	0.0	0.0202783681427	0.00071304879291	0.00724443969204	0.0	0.0	0.00364290217874	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.000481796135995	0.0	0.0	0.0	0.0	0.00055929305358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
