sample_id,seq4 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq227 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq128 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq190 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq89 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq77 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq2 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq52 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq144 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq108 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq51 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq50 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959,seq240 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959
mim16.m1c3t,4255,0,0,0,0,0,20657,89,0,0,33,0,0
mim16.m2c3t,3039,0,11,0,0,0,15778,0,19,0,0,32,0
mim16.m3c3t,3084,0,0,27,0,0,17716,0,0,0,0,0,0
mim16.m1c4t,2917,15,25,0,0,0,14804,0,15,0,44,0,0
mim16.m2c4t,1534,0,0,0,0,0,8232,0,0,0,0,0,0
mim16.m3c4t,1246,0,0,0,0,0,7563,0,0,0,30,0,0
mim16.m1c1l,2640,0,0,0,0,0,10897,0,0,0,0,0,0
mim16.m2c1l,1903,0,0,0,0,0,11535,0,11,0,15,0,0
mim16.m3c1l,2201,0,0,0,0,0,10924,0,0,0,0,0,0
mim16.m3c2l,2189,0,0,0,71,0,17396,60,0,0,0,32,0
mim16.m1c3l,1982,0,14,0,0,90,11891,0,0,61,0,34,0
mim16.m2c3l,3007,0,0,0,0,0,10534,0,0,0,15,16,0
mim16.m3c3l,1823,0,0,0,0,0,9216,0,0,0,0,16,11
mim16.m1c4l,2806,0,0,0,0,0,13480,0,0,0,0,23,0
mim16.m2c4l,1795,0,0,0,0,0,9462,0,0,0,0,0,0
mim16.m3c4l,3065,0,0,0,0,0,15371,0,0,0,15,0,0
