	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	0.78	0.68	0.5	0.66	0.32	0.82	0.72	0.54	0.58	0.58	0.72	0.72	0.58	0.66	0.54	0.68
alpha_rarefaction_10_1.txt	10	1	0.64	0.82	0.66	0.58	0.56	0.86	0.32	0.54	0.58	0.66	0.64	0.66	0.54	0.68	0.66	0.58
alpha_rarefaction_10_2.txt	10	2	0.72	0.72	0.42	0.34	0.54	0.82	0.58	0.54	0.58	0.64	0.64	0.68	0.7	0.66	0.48	0.66
alpha_rarefaction_10_3.txt	10	3	0.48	0.76	0.66	0.58	0.58	0.74	0.54	0.66	0.68	0.62	0.58	0.58	0.7	0.58	0.58	0.72
alpha_rarefaction_10_4.txt	10	4	0.66	0.48	0.56	0.34	0.56	0.76	0.58	0.64	0.66	0.66	0.6	0.62	0.46	0.72	0.64	0.58
alpha_rarefaction_10_5.txt	10	5	0.46	0.58	0.56	0.42	0.7	0.46	0.58	0.66	0.66	0.54	0.66	0.72	0.56	0.64	0.42	0.58
alpha_rarefaction_10_6.txt	10	6	0.48	0.64	0.5	0.58	0.72	0.68	0.78	0.58	0.58	0.56	0.64	0.54	0.64	0.68	0.58	0.58
alpha_rarefaction_10_7.txt	10	7	0.48	0.68	0.7	0.82	0.76	0.82	0.66	0.6	0.32	0.64	0.66	0.7	0.62	0.7	0.56	0.42
alpha_rarefaction_10_8.txt	10	8	0.54	0.74	0.68	0.68	0.34	0.9	0.54	0.46	0.58	0.7	0.64	0.48	0.48	0.64	0.54	0.56
alpha_rarefaction_10_9.txt	10	9	0.42	0.68	0.46	0.62	0.78	0.66	0.64	0.46	0.32	0.58	0.74	0.56	0.5	0.5	0.64	0.42
