	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_6007_2.txt	6007	2	20.6	42.5	30.0	43.625	22.0	95.6666666667	29.0	25.6	15.5	39.25	25.0	23.0	18.0	23.3333333333	22.0	45.25
alpha_rarefaction_6007_3.txt	6007	3	19.0	49.0	22.5	52.1666666667	22.0	93.0909090909	28.0	34.0	16.0	40.75	26.0	22.3333333333	18.0	26.4285714286	22.0	48.5
alpha_rarefaction_6007_4.txt	6007	4	18.3333333333	42.8571428571	24.0	44.1111111111	24.0	96.9090909091	29.0	24.0	16.0	40.75	26.5	20.0	18.0	25.0	22.0	49.0
alpha_rarefaction_6007_5.txt	6007	5	20.5	42.3333333333	23.75	40.6666666667	22.0	95.1666666667	29.0	24.0	16.0	40.2	25.0	22.0	18.0	25.2	22.0	45.3333333333
alpha_rarefaction_6007_6.txt	6007	6	19.25	46.1	27.0	43.2	22.0	96.75	29.0	24.0	16.5	41.6	29.0	21.0	17.0	25.6	22.0	46.5
alpha_rarefaction_6007_7.txt	6007	7	19.0	47.0	21.75	40.6	22.0	97.9090909091	28.0	23.25	16.0	41.6	25.0	22.0	18.0	25.2	22.0	48.1
alpha_rarefaction_6007_8.txt	6007	8	20.0	43.4285714286	24.1111111111	46.1111111111	23.25	95.4615384615	29.0	25.0	14.0	40.0	26.0	22.3333333333	18.0	27.0	22.0	48.5
alpha_rarefaction_6007_9.txt	6007	9	21.0	46.0	24.0	41.4615384615	21.5	96.4285714286	30.0	24.0	16.0	39.6	26.5	22.0	18.0	27.0	22.0	49.625
alpha_rarefaction_8006_0.txt	8006	0	19.0	42.0	23.2	42.375	23.0	97.5	29.0	25.0	16.0	41.0	25.0	22.0	19.0	26.0	22.0	48.4285714286
alpha_rarefaction_8006_1.txt	8006	1	19.0	51.0	28.0	43.2727272727	23.0	96.0	29.0	25.0	16.0	40.0	26.5	22.3333333333	18.0	25.5	22.0	48.6666666667
alpha_rarefaction_8006_2.txt	8006	2	20.0	47.5	23.75	43.75	23.0	98.5	29.0	25.0	16.0	41.0	26.0	22.0	18.0	24.0	22.0	49.1111111111
alpha_rarefaction_8006_3.txt	8006	3	20.0	44.1666666667	21.0	42.8571428571	23.0	96.5	29.0	25.0	16.0	40.5	26.5	22.0	18.0	27.2	22.0	48.1111111111
alpha_rarefaction_8006_4.txt	8006	4	20.75	47.4285714286	25.75	41.1666666667	23.0	96.1666666667	28.0	25.0	15.0	40.0	26.0	22.0	18.0	28.0	22.0	42.25
alpha_rarefaction_8006_5.txt	8006	5	20.0	45.6666666667	23.2	44.1111111111	23.0	96.3333333333	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	51.0
alpha_rarefaction_8006_6.txt	8006	6	20.0	44.75	23.0	42.4285714286	23.0	96.0	28.0	25.0	16.0	40.0	27.0	22.0	18.0	24.3333333333	22.0	46.0
alpha_rarefaction_8006_7.txt	8006	7	20.0	44.2	26.0	41.0	23.0	96.0	29.0	24.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	46.0
alpha_rarefaction_8006_8.txt	8006	8	20.0	44.5	28.0	44.75	23.0	101.0	29.0	24.0	15.0	41.2	26.0	21.0	18.0	24.0	22.0	47.3333333333
alpha_rarefaction_8006_9.txt	8006	9	20.0	45.0	24.5	44.5	29.0	96.75	29.0	25.0	16.0	41.0	26.0	22.0	18.0	27.0	22.0	47.9090909091
