	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10_0.txt	10	0	6.0	5.0	2.0	4.0	2.0	7.0	5.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0
alpha_rarefaction_10_1.txt	10	1	4.0	7.0	4.0	3.0	3.0	8.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0
alpha_rarefaction_10_2.txt	10	2	5.0	4.0	2.0	3.0	3.0	7.0	4.0	3.0	4.0	3.0	4.0	5.0	4.0	4.0	2.0	4.0
alpha_rarefaction_10_3.txt	10	3	2.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	5.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0
alpha_rarefaction_10_4.txt	10	4	4.0	4.0	3.0	3.0	3.0	6.0	4.0	4.0	4.0	3.0	5.0	3.0	3.0	5.0	4.0	4.0
alpha_rarefaction_10_5.txt	10	5	3.0	3.0	3.0	2.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	5.0	3.0	4.0	2.0	4.0
alpha_rarefaction_10_6.txt	10	6	2.0	4.0	2.0	4.0	4.0	5.0	5.0	3.0	3.0	3.0	4.0	3.0	4.0	5.0	4.0	3.0
alpha_rarefaction_10_7.txt	10	7	2.0	5.0	4.0	7.0	6.0	7.0	4.0	5.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0
alpha_rarefaction_10_8.txt	10	8	3.0	5.0	5.0	5.0	3.0	10.0	3.0	3.0	3.0	4.0	4.0	4.0	2.0	4.0	3.0	3.0
alpha_rarefaction_10_9.txt	10	9	2.0	5.0	3.0	3.0	6.0	4.0	4.0	3.0	2.0	3.0	5.0	3.0	2.0	2.0	4.0	2.0
alpha_rarefaction_2009_0.txt	2009	0	16.0	34.0	18.0	35.0	20.0	84.0	28.0	23.0	13.0	35.0	22.0	20.0	14.0	19.0	21.0	29.0
alpha_rarefaction_2009_1.txt	2009	1	16.0	34.0	18.0	31.0	19.0	78.0	25.0	23.0	13.0	33.0	24.0	17.0	18.0	15.0	19.0	32.0
alpha_rarefaction_2009_2.txt	2009	2	15.0	33.0	15.0	33.0	21.0	81.0	26.0	24.0	15.0	35.0	23.0	19.0	14.0	20.0	21.0	35.0
alpha_rarefaction_2009_3.txt	2009	3	13.0	31.0	17.0	31.0	20.0	73.0	25.0	22.0	14.0	34.0	23.0	18.0	17.0	19.0	22.0	35.0
alpha_rarefaction_2009_4.txt	2009	4	15.0	32.0	18.0	26.0	22.0	84.0	26.0	22.0	14.0	31.0	22.0	16.0	17.0	22.0	21.0	37.0
alpha_rarefaction_2009_5.txt	2009	5	13.0	39.0	21.0	30.0	19.0	86.0	26.0	22.0	13.0	31.0	21.0	19.0	18.0	20.0	21.0	28.0
alpha_rarefaction_2009_6.txt	2009	6	15.0	32.0	15.0	32.0	19.0	82.0	24.0	20.0	13.0	32.0	24.0	20.0	15.0	18.0	21.0	35.0
alpha_rarefaction_2009_7.txt	2009	7	15.0	35.0	19.0	28.0	16.0	81.0	26.0	23.0	14.0	31.0	23.0	21.0	17.0	22.0	21.0	30.0
alpha_rarefaction_2009_8.txt	2009	8	15.0	38.0	20.0	29.0	19.0	78.0	26.0	22.0	14.0	36.0	22.0	19.0	17.0	18.0	19.0	33.0
alpha_rarefaction_2009_9.txt	2009	9	16.0	34.0	15.0	28.0	20.0	78.0	27.0	24.0	14.0	32.0	23.0	17.0	14.0	20.0	21.0	33.0
alpha_rarefaction_4008_0.txt	4008	0	18.0	40.0	23.0	40.0	20.0	90.0	28.0	24.0	16.0	39.0	26.0	19.0	18.0	22.0	22.0	39.0
alpha_rarefaction_4008_1.txt	4008	1	15.0	43.0	21.0	39.0	22.0	94.0	27.0	25.0	16.0	40.0	23.0	21.0	18.0	24.0	22.0	40.0
alpha_rarefaction_4008_2.txt	4008	2	18.0	38.0	19.0	40.0	23.0	88.0	29.0	22.0	15.0	40.0	26.0	21.0	18.0	23.0	22.0	42.0
alpha_rarefaction_4008_3.txt	4008	3	17.0	40.0	20.0	39.0	22.0	89.0	29.0	23.0	16.0	39.0	25.0	21.0	17.0	23.0	22.0	40.0
alpha_rarefaction_4008_4.txt	4008	4	18.0	40.0	22.0	41.0	22.0	93.0	29.0	23.0	14.0	39.0	25.0	20.0	18.0	23.0	22.0	42.0
alpha_rarefaction_4008_5.txt	4008	5	17.0	38.0	21.0	40.0	22.0	92.0	26.0	25.0	15.0	38.0	24.0	20.0	18.0	23.0	22.0	40.0
alpha_rarefaction_4008_6.txt	4008	6	18.0	45.0	22.0	41.0	23.0	89.0	28.0	23.0	16.0	40.0	25.0	21.0	16.0	25.0	21.0	43.0
alpha_rarefaction_4008_7.txt	4008	7	16.0	39.0	21.0	39.0	21.0	92.0	28.0	24.0	15.0	40.0	25.0	22.0	18.0	24.0	22.0	39.0
alpha_rarefaction_4008_8.txt	4008	8	18.0	42.0	18.0	38.0	22.0	91.0	27.0	22.0	14.0	38.0	24.0	19.0	17.0	26.0	22.0	42.0
alpha_rarefaction_4008_9.txt	4008	9	17.0	39.0	19.0	34.0	22.0	90.0	29.0	23.0	16.0	39.0	26.0	20.0	18.0	24.0	22.0	41.0
alpha_rarefaction_6007_0.txt	6007	0	19.0	43.0	21.0	40.0	23.0	96.0	29.0	25.0	16.0	40.0	25.0	22.0	18.0	25.0	22.0	43.0
alpha_rarefaction_6007_1.txt	6007	1	19.0	42.0	21.0	43.0	23.0	97.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	24.0	22.0	46.0
alpha_rarefaction_6007_2.txt	6007	2	20.0	42.0	23.0	41.0	22.0	95.0	29.0	25.0	15.0	39.0	25.0	22.0	18.0	23.0	22.0	44.0
alpha_rarefaction_6007_3.txt	6007	3	19.0	43.0	21.0	43.0	22.0	93.0	28.0	24.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	45.0
alpha_rarefaction_6007_4.txt	6007	4	18.0	42.0	22.0	43.0	23.0	96.0	29.0	24.0	16.0	40.0	26.0	20.0	18.0	25.0	22.0	45.0
alpha_rarefaction_6007_5.txt	6007	5	19.0	42.0	23.0	39.0	22.0	95.0	29.0	24.0	16.0	40.0	25.0	22.0	18.0	25.0	22.0	45.0
alpha_rarefaction_6007_6.txt	6007	6	19.0	44.0	24.0	42.0	22.0	96.0	29.0	24.0	16.0	41.0	26.0	21.0	17.0	25.0	22.0	45.0
alpha_rarefaction_6007_7.txt	6007	7	19.0	44.0	21.0	40.0	22.0	97.0	28.0	23.0	16.0	41.0	25.0	22.0	18.0	25.0	22.0	46.0
alpha_rarefaction_6007_8.txt	6007	8	19.0	43.0	24.0	43.0	23.0	95.0	29.0	25.0	14.0	39.0	26.0	22.0	18.0	26.0	22.0	45.0
alpha_rarefaction_6007_9.txt	6007	9	19.0	44.0	22.0	41.0	21.0	95.0	29.0	24.0	16.0	39.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_8006_0.txt	8006	0	19.0	42.0	23.0	42.0	23.0	96.0	29.0	25.0	16.0	41.0	25.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_8006_1.txt	8006	1	19.0	41.0	23.0	43.0	23.0	96.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	25.0	22.0	48.0
alpha_rarefaction_8006_2.txt	8006	2	20.0	45.0	23.0	43.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	24.0	22.0	48.0
alpha_rarefaction_8006_3.txt	8006	3	20.0	44.0	21.0	42.0	23.0	96.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_8006_4.txt	8006	4	20.0	46.0	25.0	41.0	23.0	96.0	28.0	25.0	15.0	40.0	26.0	22.0	18.0	25.0	22.0	42.0
alpha_rarefaction_8006_5.txt	8006	5	20.0	45.0	23.0	44.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	46.0
alpha_rarefaction_8006_6.txt	8006	6	20.0	44.0	23.0	42.0	23.0	95.0	28.0	25.0	16.0	40.0	26.0	22.0	18.0	24.0	22.0	46.0
alpha_rarefaction_8006_7.txt	8006	7	20.0	44.0	25.0	41.0	23.0	96.0	29.0	24.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	46.0
alpha_rarefaction_8006_8.txt	8006	8	20.0	44.0	25.0	44.0	23.0	96.0	29.0	24.0	15.0	41.0	25.0	21.0	18.0	24.0	22.0	47.0
alpha_rarefaction_8006_9.txt	8006	9	20.0	44.0	23.0	44.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_10005_0.txt	10005	0	20.0	43.0	24.0	42.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	48.0
alpha_rarefaction_10005_1.txt	10005	1	20.0	44.0	25.0	44.0	22.0	96.0	28.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_10005_2.txt	10005	2	20.0	46.0	24.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_10005_3.txt	10005	3	19.0	43.0	24.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_10005_4.txt	10005	4	20.0	44.0	25.0	43.0	23.0	97.0	29.0	25.0	16.0	41.0	25.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_10005_5.txt	10005	5	20.0	45.0	25.0	43.0	23.0	96.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_10005_6.txt	10005	6	20.0	44.0	25.0	44.0	23.0	96.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_10005_7.txt	10005	7	20.0	44.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	46.0
alpha_rarefaction_10005_8.txt	10005	8	20.0	45.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
