	mim16.m1c4l	mim16.m3c1l	mim16.m3c4t	mim16.m2c4l	mim16.m2c1l	mim16.m2c3t	mim16.m3c3l	mim16.m1c3t	mim16.m1c1l	mim16.m2c3l	mim16.m3c3t	mim16.m1c3l	mim16.m1c4t	mim16.m3c4l	mim16.m3c2l	mim16.m2c4t
mim16.m1c4l	0.0	0.08805	0.4401	0.06325	0.0868	0.10175	0.1359	0.1044	0.08695	0.07105	0.06395	0.08375	0.10765	0.05975	0.15475	0.148
mim16.m3c1l	0.08805	0.0	0.5159	0.07825	0.0462	0.17165	0.14745	0.05815	0.0456	0.12745	0.13165	0.12945	0.05595	0.0571	0.175	0.21855
mim16.m3c4t	0.4401	0.5159	0.0	0.46535	0.49275	0.35585	0.42485	0.51495	0.49285	0.4055	0.3885	0.41905	0.5202	0.4778	0.44115	0.37095
mim16.m2c4l	0.06325	0.07825	0.46535	0.0	0.08455	0.1208	0.10905	0.0708	0.10315	0.08375	0.1055	0.0799	0.108	0.0735	0.13095	0.1678
mim16.m2c1l	0.0868	0.0462	0.49275	0.08455	0.0	0.15285	0.158	0.0609	0.06915	0.1308	0.13675	0.135	0.06425	0.0712	0.17655	0.22105
mim16.m2c3t	0.10175	0.17165	0.35585	0.1208	0.15285	0.0	0.1284	0.1711	0.158	0.0706	0.0894	0.08165	0.1842	0.1419	0.15725	0.12855
mim16.m3c3l	0.1359	0.14745	0.42485	0.10905	0.158	0.1284	0.0	0.11775	0.16285	0.1	0.13935	0.0991	0.1961	0.1493	0.06615	0.17235
mim16.m1c3t	0.1044	0.05815	0.51495	0.0708	0.0609	0.1711	0.11775	0.0	0.08915	0.1226	0.14675	0.13175	0.0878	0.09305	0.1498	0.21925
mim16.m1c1l	0.08695	0.0456	0.49285	0.10315	0.06915	0.158	0.16285	0.08915	0.0	0.1014	0.12465	0.1304	0.0661	0.053	0.1974	0.20805
mim16.m2c3l	0.07105	0.12745	0.4055	0.08375	0.1308	0.0706	0.1	0.1226	0.1014	0.0	0.07875	0.0696	0.1488	0.09845	0.14635	0.1304
mim16.m3c3t	0.06395	0.13165	0.3885	0.1055	0.13675	0.0894	0.13935	0.14675	0.12465	0.07875	0.0	0.0804	0.16375	0.10095	0.1664	0.0925
mim16.m1c3l	0.08375	0.12945	0.41905	0.0799	0.135	0.08165	0.0991	0.13175	0.1304	0.0696	0.0804	0.0	0.16305	0.1021	0.1263	0.12395
mim16.m1c4t	0.10765	0.05595	0.5202	0.108	0.06425	0.1842	0.1961	0.0878	0.0661	0.1488	0.16375	0.16305	0.0	0.08515	0.2209	0.2457
mim16.m3c4l	0.05975	0.0571	0.4778	0.0735	0.0712	0.1419	0.1493	0.09305	0.053	0.09845	0.10095	0.1021	0.08515	0.0	0.1717	0.1864
mim16.m3c2l	0.15475	0.175	0.44115	0.13095	0.17655	0.15725	0.06615	0.1498	0.1974	0.14635	0.1664	0.1263	0.2209	0.1717	0.0	0.2047
mim16.m2c4t	0.148	0.21855	0.37095	0.1678	0.22105	0.12855	0.17235	0.21925	0.20805	0.1304	0.0925	0.12395	0.2457	0.1864	0.2047	0.0
