Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq202 Lachnospiraceae;Lachnoclostridium;sp32341-sp32430	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004
seq165 Lachnospiraceae;Lachnoclostridium;sp32402	1e-06	1e-06	1e-06	1e-06	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq19 Lachnospiraceae;NA;sp33558	1e-06	1e-06	1e-06	0.0004	0.0003	0.0082	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq55 Lachnospiraceae;NA;sp33518	1e-06	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0012
seq62 Lachnospiraceae;NA;sp33582	1e-06	0.0001	1e-06	0.0003	1e-06	1e-06	0.001	0.0013	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq28 Lachnospiraceae;Roseburia;sp33177	1e-06	1e-06	1e-06	0.0006	1e-06	0.005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq83 Lachnospiraceae;Roseburia;sp33177	1e-06	1e-06	1e-06	1e-06	1e-06	0.0011	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq9 Lachnospiraceae;Roseburia;sp33152	1e-06	1e-06	1e-06	0.0027	0.0011	0.0329	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0026	1e-06	1e-06
seq33 Lachnospiraceae;NA;sp33565	1e-06	1e-06	1e-06	1e-06	1e-06	0.0036	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq30 Lachnospiraceae;Roseburia;sp33143	1e-06	0.0015	1e-06	0.0004	1e-06	0.0025	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq54 Lachnospiraceae;Roseburia;sp33143	1e-06	0.0009	1e-06	1e-06	1e-06	0.0013	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
