Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq38 Parabacteroides;distasonis	1e-06	0.0006	1e-06	1e-06	1e-06	0.0018	1e-06	0.0006	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq47 Parabacteroides;merdae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0036	1e-06	1e-06	1e-06	1e-06	1e-06
seq20 Parabacteroides;distasonis	1e-06	0.0014	1e-06	0.0003	1e-06	0.0057	1e-06	0.0015	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq12 Parabacteroides;distasonis	0.0006	0.0049	1e-06	0.0005	1e-06	0.0127	0.0007	0.005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
