"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"52","Faecalibacterium","Y","Y","Y"
"53","Faecalitalea","Y","Y","Y"
"54","Firmicutes_unclassified","Y","N","N"
"55","Flavonifractor","Y","Y","Y"
"56","Fusicatenibacter","Y","Y","Y"
"57","Fusobacterium","Y","Y","Y"
"58","Gemella","Y","N","N"
"59","Gemmiger","Y","N","N"
"60","Gordonibacter","Y","Y","Y"
"61","Haemophilus","Y","Y","Y"
"62","Hafnia","Y","N","N"
"63","Harryflintia","Y","Y","Y"
"64","Holdemanella","Y","N","N"
"65","Holdemania","Y","Y","Y"
"66","Hungatella","Y","Y","Y"
"67","Intestinibacter","Y","Y","Y"
"68","Intestinimonas","Y","Y","Y"
"69","Klebsiella","Y","Y","Y"
"70","Lachnoclostridium","Y","Y","Y"
"71","Lachnospira","Y","Y","Y"
"72","Lachnospiraceae_unclassified","Y","N","N"
"73","Lactobacillus","Y","Y","Y"
"74","Lactococcus","Y","Y","Y"
"75","Lactonifactor","Y","Y","Y"
"76","Lawsonella","Y","Y","Y"
"77","Lawsonibacter","Y","N","N"
"78","Marvinbryantia","Y","Y","Y"
"79","Massiliomicrobiota","Y","N","N"
"80","Megamonas","Y","Y","Y"
"81","Megasphaera","Y","Y","Y"
"82","Methanobrevibacter","Y","Y","Y"
"83","Methanomassiliicoccus","Y","Y","Y"
"84","Methanosphaera","Y","Y","Y"
"85","Mitsuokella","Y","N","N"
"86","Monoglobus","Y","N","N"
"87","Odoribacter","Y","Y","Y"
"88","Oscillibacter","Y","Y","Y"
"89","Oxalobacter","Y","Y","Y"
"90","Parabacteroides","Y","Y","Y"
"91","Paraprevotella","Y","N","N"
"92","Parasutterella","Y","Y","Y"
"93","Parvimonas","Y","N","N"
"94","Peptococcus","Y","Y","Y"
"95","Peptoniphilus","Y","Y","Y"
"96","Peptostreptococcaceae_unclassified","Y","N","N"
"97","Phascolarctobacterium","Y","Y","Y"
"98","Prevotella","Y","N","N"
"99","Propionibacterium","Y","N","N"
"100","Proteobacteria_unclassified","Y","N","N"
"101","Pseudoflavonifractor","Y","Y","Y"
"102","Pseudomonas","Y","Y","Y"
"103","Pyramidobacter","Y","N","N"
"104","Raoultella","Y","N","N"
"105","Romboutsia","Y","Y","Y"
"106","Roseburia","Y","Y","Y"
"107","Rothia","Y","Y","Y"
"108","Ruminococcaceae_unclassified","Y","N","N"
"109","Ruminococcus","Y","N","N"
"110","Ruthenibacterium","Y","N","N"
"111","Sanguibacteroides","Y","N","N"
"112","Sellimonas","Y","Y","Y"
"113","Serratia","Y","N","N"
"114","Slackia","Y","Y","Y"
"115","Streptococcus","Y","Y","Y"
"116","Sutterella","Y","Y","Y"
"117","Turicibacter","Y","Y","Y"
"118","Turicimonas","Y","N","N"
