"","g__Absiella","g__Acidaminococcus","g__Actinomyces","g__Adlercreutzia","g__Agathobaculum","g__Akkermansia","g__Alistipes","g__Allisonella","g__Anaerococcus","g__Anaeroglobus","g__Anaeromassilibacillus","g__Anaerostipes","g__Anaerotignum","g__Anaerotruncus","g__Asaccharobacter","g__Bacteroides","g__Barnesiella","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brachyspira","g__Butyricicoccus","g__Butyricimonas","g__Campylobacter","g__Candidatus_Gastranaerophilales_unclassified","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Christensenella","g__Citrobacter","g__Cloacibacillus","g__Clostridiales_unclassified","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprobacter","g__Coprococcus","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Dialister","g__Dielma","g__Dorea","g__Eggerthella","g__Eisenbergiella","g__Enorma","g__Enterococcus","g__Enterorhabdus","g__Erysipelatoclostridium","g__Escherichia","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Faecalibacterium","g__Faecalitalea","g__Firmicutes_unclassified","g__Flavonifractor","g__Fusicatenibacter","g__Fusobacterium","g__Gemella","g__Gemmiger","g__Gordonibacter","g__Haemophilus","g__Hafnia","g__Harryflintia","g__Holdemanella","g__Holdemania","g__Hungatella","g__Intestinibacter","g__Intestinimonas","g__Klebsiella","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Lactobacillus","g__Lactococcus","g__Lactonifactor","g__Lawsonella","g__Lawsonibacter","g__Marvinbryantia","g__Massiliomicrobiota","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Methanosphaera","g__Mitsuokella","g__Monoglobus","g__Odoribacter","g__Oscillibacter","g__Oxalobacter","g__Parabacteroides","g__Paraprevotella","g__Parasutterella","g__Parvimonas","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcaceae_unclassified","g__Phascolarctobacterium","g__Prevotella","g__Propionibacterium","g__Proteobacteria_unclassified","g__Pseudoflavonifractor","g__Pseudomonas","g__Pyramidobacter","g__Raoultella","g__Romboutsia","g__Roseburia","g__Rothia","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Sanguibacteroides","g__Sellimonas","g__Serratia","g__Slackia","g__Streptococcus","g__Sutterella","g__Turicibacter","g__Turicimonas","g__Tyzzerella","g__Veillonella","g__Victivallis"
"1-rB",0,0,0,0.04807,0.49318,0,0.7847,0,0,0,0,0.0911,0.71644,0.33451,0.05077,55.97305,1.20697,0,0.14567,1.85959,0,0,0.2574,0,0,0.06396,0,0,0,0,0,1.02655,0.56853,0,0,0,0.51829,0,0,0,0.03818,0.42219,0.02724,0.032,0,0,0,0.00783,2.46125,0,1.09269,13.54046,0,2.03798,0.38294,0.5487,0.49462,0,0.19167,0,0,0,0,0,0.07859,0.19199,0,0.09659,0,0.22768,0,0.56595,0,0,0,0,0.13464,0,0,0,0,0,0,0,0,0.82868,1.61357,0,0.04431,6.41761,0,0.02704,0,0,0,0,0.09178,0,0,0,0,0,0.0461,0,0,0.97266,0,0,3.04142,0.1999,0,0,0,0,0,0.00496,0,0,0,0,0
"1-rP",0,0,0,0.14767,0.40101,0,0.93087,0,0,0,0,0.1342,0.0655,0.23953,0.07967,63.21181,2.29267,0,0.12887,2.02678,0,0,0.20876,0,0,0,0,0,0,0,0,0.40886,0.14445,0,0,0,0.44452,0,0,0,0,0.5264,0.06597,0,0,0,0,0,0.1396,0,1.36302,4.71705,0,1.25422,0.2771,1.42211,0.69542,0,0.17777,0.00882,0,0,0,0,0.03359,0,0,0.03172,0,0.18534,0,0.51519,0,0,0,0,0.05917,0,0,0,0,0,0,0,0,0.45886,1.63634,0,0.16775,12.53233,0,0,0,0,0,0,0.14037,0,0,0,0,0,0,0,0,1.47253,0,0.01897,1.10828,0.10887,0,0,0,0,0,0.01805,0,0,0,0,0
"1-tB",0,0,0.01399,0,0.36335,0,0.3796,0,0,0,0,0.41454,0.10381,0,0,23.2937,0.47024,0,0.36203,22.34307,0,0,0.01358,0,0,0,0,0,0,0,0,0.39167,0.05806,0,0,0,0.46254,0,0,0,0,0.65674,0,0,0,0,0,0,0,0,2.54396,19.28564,0,1.08889,0.07455,0.94395,0.46904,0,0.23043,0,0,0,0,0,0.01861,0,0,0,0,0.97614,0,3.45789,0.03963,0.07645,0,0,0.20011,0,0,0,0,0,0,0,0,1.52107,0.90487,0,0.02877,7.39279,0,0,0,0,0,0,0.06665,0,0,0,0,0,0,0,0,10.36103,0,0,0.53317,0.03709,0,0,0,0,0.42238,0,0,0,0,0,0
"1-tP",0,0,0,0.20501,0.88525,0,1.18951,0,0,0,0,0.14435,0.03042,0.31064,0.11129,58.73808,2.26145,0,0.23719,0.92228,0,0,0.24783,0,0,0,0,0,0,0,0,0.31022,0.42061,0,0,0,0.68978,0,0,0,0,0.80486,0.15992,0,0,0,0,0,4.90262,0,2.02967,5.9735,0,2.12009,0.19152,0.69633,0.65542,0,0.30638,0.0129,0,0,0,0,0.03546,0,0,0,0,0.12171,0,0.28072,0,0,0,0,0.15447,0,0,0,0,0,0,0,0,2.89869,0.79871,0,0.16147,7.38777,0,0,0,0,0,0,0.09418,0,0,0,0,0,0,0,0,0.90518,0,0.15614,2.01387,0.39942,0,0,0,0,0.03512,0,0,0,0,0,0
"101-rB",0,0,0,0.02071,0.05182,3.20968,13.55941,0,0,0,0.29014,0.88298,0,0,0.02497,41.35292,2.5284,0.52818,0.0442,0.47628,0,0,0.18146,0,0,0,0,0,0,0.01232,0,0.07253,0.25187,0,0,0,0,0,0,0.08031,0,0.38083,0,0,0.00492,0,0,0,0,0,0.09987,3.17985,0,1.83806,0,0.12556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88993,0,0,0,0,0.22547,0,0,0,0,1.16394,0.38678,0.24896,0,0,1.87735,0.59289,0,3.17417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48141,0,16.87629,2.48685,0.17282,0,0,0,0,0.22584,0,0,0,0,0,0
"101-rP",0,0,0,0.00639,0.05669,1.15176,11.33392,0,0,0,0.11959,0.11292,0,0,0.00965,32.33106,3.32909,0.99814,0.0263,0.26491,0,0,0.22537,0,0.00295,0,0,0,0,0,0,0.31395,0.41558,0,0,0,0.18398,0,0,0.03978,0,0.4154,0.01043,0,0,0,0,0,0,0,0.80797,14.111,0,1.22956,0,2.18595,0,0,0,0,0,0,0,0,0,0,0,0,0.03823,0,0,3.83382,0,0,0,0,0.09307,0,0,0,0,0.67016,0,0.16375,0,0,1.58647,0.74233,0,3.80573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78657,0,12.16851,2.64691,0.24313,0,0,0,0,0.53897,0,0,0,0,0,0
"101-tB",0,0,0,0.01298,0.04692,0.72945,16.29091,0,0,0,0.05725,0.2688,0,0,0.00384,31.7147,5.31032,0.7605,0.05794,0.54954,0,0,0.08818,0,0.10139,0,0,0,0,0,0,0.17455,0.64921,0,0,0,0.06648,0,0,0.20562,0,0.15721,0,0,0.00295,0,0,0.10371,0,0,1.64552,14.0789,0,3.74409,0,0.56061,0,0,0,0.05439,0,0,0,0,0,0,0.10395,0,0,0,0,2.12276,0,0,0,0,0.18532,0,0,0,0,1.49096,0.05645,0.23627,0,0,2.11184,0.15155,0,2.59951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48902,0,9.79527,2.07107,0.09108,0,0,0,0,0.04969,0,0.00929,0,0,0,0
"101-tP",0,0,0,0.01993,0.14192,2.12955,12.20897,0,0,0,0.27194,0.25034,0,0,0.00157,32.41867,3.62083,0.11298,0.00513,0.28188,0,0,0.14375,0,0.30659,0,0,0,0,0,0,0.18148,0.46928,0,0,0,0,0,0,0.03705,0,0.14796,0,0,0.00369,0,0,0.35164,0,0,1.00484,9.56039,0,2.12489,0,0.38558,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0.92486,0,0,0,0,0.2145,0,0,0,0,0.91556,0.18439,0.39982,0,0,1.63192,0.3666,0,2.87936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14615,0,20.8361,3.28229,0.03563,0,0,0,0,0,0,0,0,0,0,0
"102-rB",0,0,0,0.08359,0,6.33324,17.32328,0,0,0,0,0,0,0.24082,0.34098,18.32605,0,0,0,4.00975,0,0,0,0,0,0.23729,0,0,0,0,0.00631,3.01979,0.44883,0,0,0,0,0,0,0,0.06071,2.01178,0.81126,0.02734,0,0,0,0.33437,0,0,0.99116,0.31403,0,3.48803,1.15156,0.54823,0,0,0,0.32265,0,0,0,0,0.49506,0,0,0,0,0.03805,0,2.98528,0.00633,0,0,0,0.10546,0,0,0,0,0,0,0,0,0.40299,0,1.75351,0,1.8867,0,1.4356,0,0,0,0,0.23353,0,0,0.02517,0,0,0,0,0.00447,0.77161,0,9.03975,18.167,0.99079,0,0.0294,0,0,1.12411,0,0,0.06287,0.01126,0,0
"102-rP",0,0,0,0.05715,0,4.54204,2.10231,0,0,0,0,3.17313,0.02288,0.06436,0.31855,12.10071,0,0,0,4.49858,0,0,0,0,0,1.49877,0,0,0,0,0.12237,1.01533,0.07829,0,0,0,0,0,0,0,0.04882,1.33628,1.00817,0.89724,0,0,0,1.97307,0,0,14.47639,0.76303,0,3.64012,0.48273,5.74519,0,0,0,0.71378,0,0,0,0,0.12186,0,0,0,0,0.13106,0,6.53541,0,0.01627,0,0,0,0,0,0,0,0,0,0,0,0.10494,0,0.3221,0,1.8623,0,0.2118,0,0,0,0,0.25111,0,0,0,0,0,0,0,0,1.53104,0,11.59049,13.79862,0.63839,0,0,0,0,2.04029,0,0,0,0.16504,0,0
"102-tB",0,0,0,0.00436,0,6.98518,12.26822,0,0,0,0,0.38688,0.05867,0.07845,0.01356,22.29592,0,0,0,7.74576,0,0,0,0,0,0.84409,0,0,0,0,0.10103,1.28089,0.06182,0,0,0,0,0,0,0,0,0.74234,0.20394,0.16998,0,0,0,0.08095,0,0,7.3184,1.4547,0,0.95436,0.36854,4.044,0,0,0,0.29388,0,0,0,0,0.36291,0,0,0,0,0.03969,0,16.52456,0,0,0,0,0.03083,0,0,0,0,0,0,0,0,0.47299,0,0.25566,0,1.08294,0,0.98368,0,0,0,0,0.70796,0,0,0.02411,0,0,0,0,0,1.10308,0,4.80346,5.08543,0.49403,0,0.17361,0,0,0,0,0,0.09914,0,0,0
"102-tP",0,0,0,0,0,6.50459,10.43479,0,0,0,0,0.99455,0.03423,0.02276,0.0169,51.10375,0,0,0,6.09881,0,0,0,0,0,0.25043,0,0,0,0,0.01328,1.2483,0.00844,0,0,0,0,0,0,0,0,0.38659,0.07626,0.00629,0,0,0,0.06788,0,0,1.13334,1.84748,0,1.33692,0.27669,1.38941,0,0,0,0.00815,0,0,0,0,0.03409,0,0,0.0115,0,0.11631,0,2.37979,0,0.02767,0,0,0.02213,0,0,0,0,0,0,0,0,0.02663,0,0.06781,0,4.30045,0,1.22956,0,0,0,0,0.45673,0,0,0.03477,0,0,0,0,0,2.65664,0,0.76037,4.46548,0.1044,0,0,0,0,0,0,0,0.04582,0,0,0
"17-rB",0,0,0,0.00954,0.25801,0,14.6639,0,0,0,0,0,0,0.01132,0,27.64119,0,0,0,4.86443,0,0,0,0,0,0,0,0,0,0,0,0.30099,0.32942,0,0,0,0.06656,0,0,0.56823,0.0461,1.53848,0.04527,0.37977,0,0,0,0.02016,0,0,1.63531,4.18546,0,0.37179,0.18238,17.45936,0,0,0.15969,0,0,0,0,0,0,0.02702,0,0,0,0.36212,1.09037,7.888,0,0,0,0,0.30741,0,0,0,0,0,0,0,0,0,0,0,0,0.79153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99479,0,4.03717,0.07666,1.36986,0,0,0,0,0.31772,0,0,0,0,0,0
"17-rP",0,0,0,0.01773,0.2436,0.02537,10.44482,0,0,0,0,0.23729,0.02205,0.02398,0.00616,53.01312,0,0.67522,0,3.81509,0,0,0,0,0,0,0,0,0,0,0,0.03394,0.6615,0,0,0,0.22293,0,0,0.16522,0,0.6868,0.06721,0,0,0,0,0,0,0,0.95616,3.62594,0,0.10204,0.08678,3.281,0,0,0.23742,0.04651,0,0,0,0,0,0,0,0,0,0,0.29735,2.61807,0,0,0,0,0.56434,0,0,0,0,0,0,0,0,0,0,0,0,1.89286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75555,0,5.82055,3.13655,0.15977,0,0,0,0,0.05708,0,0,0,0,0,0
"17-tB",0,0,0,0.01763,0.36118,0,6.10741,0,0,0,0,0.0783,0,0.04466,0.0062,57.11925,0,0,0,4.95127,0,0,0,0,0,0,0,0,0.02467,0,0,0.04188,0.49152,0,0.0102,0,0.13484,0,0,0.10741,0.13556,0.41334,0.1347,0.05241,0,0,0,0.00691,0.10906,0,0.96429,2.37563,0,0.32293,0.16613,1.56401,0,0,0.19969,0.05601,0,0,0,0,0,0.03374,0.01263,0.00217,0,0.18576,1.09959,8.47173,0,0,0,0,0.42108,0,0,0,0,0,0,0,0,0,0,0,0,1.86382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02721,0,4.04302,1.35048,0.30614,0,0.01945,0,0,0.16346,0,0,0,0.00264,0,0
"17-tP",0,0,0,0.03539,0.31619,0.19038,12.43572,0,0,0,0,0.24368,0.01963,0.02238,0.00775,44.85074,0,0.28461,0,3.59307,0,0,0,0,0,0,0,0,0,0,0,0.51395,0.55634,0,0,0,0.2119,0,0,0.07884,0.04128,0.85683,0.09511,0,0,0,0,0.03401,0,0,1.29714,5.15905,0,0.18662,0.12348,2.36844,0,0,0.13761,0.05307,0.00793,0,0,0,0,0,0,0,0,0.01894,3.10473,6.84873,0,0,0,0,0.71158,0,0,0,0,0,0,0,0,0,0,0,0,1.3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59821,0,4.48789,3.74822,0.20179,0,0.02801,0,0,0.15501,0,0,0,0,0,0
"19-rB",0,0,0,0.11566,0.50968,0.52959,5.37677,0,0,0,0.30445,0.78835,0,0,0.30468,33.27506,0,2.03029,0.04684,2.3142,0.71905,0,0,0,0,0,0.613,0,0,0,0,0.32731,3.36219,0,0,0,1.79317,0,0,0,0,0.24279,0,0,0,0,0,0.09385,0,0,2.45631,7.19264,0,0.36565,0.11088,2.16828,0,0,0.01026,0,0,0,0.01875,0,0.00727,0,0,0,0,0,0,1.58196,0,0,0,0,0.32218,0,0,0,0,1.44657,0,0,0,0,0,1.81017,0,8.80429,0.47864,0.01971,0,0,0,0,0,0,0,0.15172,0,0,0,0,0,7.11578,0,8.68973,4.28454,0.2057,0,0.01203,0,0,0,0,0,0,0,0,0
"19-rP",0,0,0,0.11745,0.43441,0.02192,5.3274,0,0,0,0.09033,0.82269,0,0.05432,0.26062,39.48596,0,3.3835,0.05366,2.84054,1.33314,0,0,0,0,0,1.75594,0,0,0,0,0.14296,2.37151,0,0,0,2.12523,0,0,0,0,0.22125,0,0.18951,0,0,0,0.0797,0,0,1.10334,6.33789,0,0.20893,0.11978,5.35328,0,0,0,0.00964,0,0,0,0,0,0,0,0,0,0,0,0.16098,0,0,0,0,0.17508,0,0,0,0,1.11104,0,0,0,0,0,3.76644,0,9.01589,0.12105,0.00202,0,0,0,0,0,0,0,0.10071,0,0,0,0,0,4.7183,0,1.21575,5.23553,0.12633,0,0,0,0,0,0,0,0.00597,0,0,0
"19-tB",0,0,0,0.06235,0.17684,0.33156,7.60648,0,0,0,0.09045,0.54103,0,0.00596,0.12717,32.5303,0,1.95906,0.01733,1.647,2.11071,0,0,0,0,0,0.44869,0,0,0,0,0.08993,3.56773,0,0,0,1.20698,0,0,0,0,0.14762,0,0.30544,0,0,0,0.17699,0,0,3.02524,7.34883,0,0.69576,0.08277,4.59489,0,0,0.02059,0.0723,0,0,0,0,0.0497,0,0,0.03989,0,0,0,0.14869,0,0,0,0,0.22269,0,0,0,0,0.53646,0,0,0,0,0,0.52686,0,4.48178,0.23436,0,0,0,0,0,0,0.01195,0,0.01819,0,0,0,0,0,10.77432,0,7.48215,6.07751,0.39595,0,0.00851,0,0,0.00098,0,0,0,0,0,0
"19-tP",0,0,0,0.04703,0.20114,0.4795,5.81182,0,0,0,0.05295,0.49164,0,0,0.11174,40.46129,0,0.64552,0.02002,3.20942,2.30943,0,0,0,0,0,0.65971,0,0,0,0,0.26085,2.4072,0,0,0,2.48532,0,0,0,0,0.23998,0,0,0,0,0,0.15108,0,0,1.49262,5.55627,0,0.23807,0.00336,4.77149,0,0,0,0.02644,0,0,0,0,0,0,0,0.01541,0,0,0,0.18647,0,0,0,0,0.27053,0,0,0,0,0.83143,0,0,0,0,0,0.72658,0,6.58877,0.26677,0,0,0,0,0,0,0,0,0.06283,0,0.16334,0,0,0,9.52935,0,3.03907,5.94116,0.23485,0,0.0052,0,0,0,0,0.00436,0,0,0,0
"21-rB",0,0,0.00636,0.25488,0.06557,0,1.63938,0,0,0,0,0.85132,0.07427,0,0.34178,46.50467,0,0.97252,0,11.1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61716,0.04477,0.00499,0,0,0,0.06815,0,0,0,12.68093,0,0.56694,0.71459,4.45666,0,0,0,0.0119,0.03766,0,0,0,0,0.01843,0,0.00498,0,0.54492,0.2635,0,0,0,0,0,0.14265,0,0,0,0,0,0,0,0,0,1.4232,2.35865,0,2.85959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80794,0,1.74902,0,0.82321,0,0,0,0,1.48116,0,0,0,0,0.42583,0
"21-rP",0,0,0,0.04356,0.29544,0,0.61802,0,0,0,0,0.49064,0.03876,0,0.07719,37.32965,0,0.90065,0,25.41292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84161,0.13174,0,0,0,0,0.22978,0,0,0,8.93566,0,0.09462,0.3379,7.20834,0,0,0,0.00375,0.06229,0,0,0,0,0,0,0,0,0.22395,0.10611,0,0,0,0,0,0.03032,0,0,0,0,0,0,0,0,0,1.18636,1.85019,0,2.30699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7843,0,0.38771,0,0.0759,0,0,0,0,2.21339,0,0,0,0,0.78227,0
"21-tB",0,0,0,0.06614,0.18741,0,1.23235,0,0,0,0,0.19978,0.0822,0,0.08786,50.27319,0,0.21657,0,14.68819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95072,0.23378,0,0,0,0,0.20685,0,0,0,8.72552,0,0.3945,0.59085,3.31829,0,0,0,0.04704,0.00439,0,0,0,0,0.00805,0,0.04557,0,0.62836,0.85315,0,0,0.05788,0,0,0.10655,0,0,0,0,0,0,0,0,0,2.10124,4.5508,0,3.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91062,0,0.90593,0,0.2668,0,0,0,0,1.22376,0,0,0,0,0.29365,0
"21-tP",0,0,0,0.04783,0.45303,0,1.27561,0,0,0,0,0.97242,0.05463,0,0.08921,40.86831,0,0.55373,0,22.01788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70849,0.17234,0,0,0,0,0.45504,0,0,0,9.84667,0,0.17225,0.36397,5.15067,0,0,0,0.02252,0.02976,0,0,0,0,0,0,0,0,0.35137,0.31677,0,0,0,0,0,0.17469,0,0,0,0,0,0,0,0,0,1.49401,1.98022,0,2.61562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08899,0,0.64975,0,0.16821,0,0,0,0,1.82216,0,0,0,0,1.08383,0
"24-rB",0,0,0,0.10496,0.13883,0,14.25982,0,0,0,0.00967,0.6414,0,0,0.06105,24.54624,5.34847,0.67966,0,2.90278,0,0,0.18357,0,0,0,0,0,0,1.17324,0,0.33464,0.8421,0,0,0.28644,0.31258,0,0.80202,0,0,0,0,0.01176,0,0,0,0,0.99825,0,3.01766,8.85432,0,2.3208,0,1.0276,0,0,0.00644,0,0,0,0,0,0,0.01311,0,0.01957,0,0.27257,0.65507,0.169,0,0,0,0,0.07151,0,0,0,0,2.41432,1.30293,0,0,0,1.737,0.18088,0,6.97269,0,0.83653,0,0,0,0,0.60058,0.71821,0,0.00267,0,0,0,0,0,2.21934,0,4.21598,8.27429,0.19333,0.26613,0,0,0,0,0,0,0,0,0,0
"24-rP",0,0,0,0.09837,0,0,4.43489,0,0,0,0.51259,0.43734,0,0,0.09584,25.39965,2.2841,0,0,0.59193,0,0,0.11188,0,0,0,0,0,0,0.47679,0,0.04611,0.08566,0,0,0.14894,0.36946,0,0.31591,0,0,0,0,0,0,0,0,0,0,0,2.4557,17.4533,0,7.55397,0.01278,0.59437,0,0,0,0,0,0,0.00839,0,0.00957,0,0,0,0,0,2.06729,0,0,0.06654,0,0,0.10902,0,0,0,0,1.08494,1.3046,0,0,0,1.12248,0.43837,0,5.30287,0,0.70879,0,0,0,0,0.8023,5.72995,0,0.01327,0,0,0,0,0,0.99951,0,10.33648,6.21918,0.09521,0.10167,0,0,0,0,0,0,0,0,0,0
"24-tB",0,0,0,0.00599,0,0,4.27261,0,0,0,0.04306,0.14321,0,0,0,25.76165,2.05584,0.19282,0,1.30075,0,0,0.00378,0,0,0,0,0,0,3.24464,0,0.21669,0.63148,0,0,0,0,0,0.32238,0,0,0.01201,0,0,0,0,0,0,0.17172,0,18.24509,9.78721,0,4.50314,0,0.25356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96684,0,0,0,0,0,0,0,0,0,0,2.55664,2.35591,0,0,0,0.63285,0.06856,0,8.1381,0,0.70589,0,0,0,0,0.46254,0.86525,0,0,0,0,0,0,0,0,0,2.75819,7.08215,1.1291,0.11035,0,0,0,0,0,0,0,0,0,0
"24-tP",0,0,0,0,0,0,5.67067,0,0,0,0.33857,0.47194,0,0,0.01479,16.04051,3.63738,0,0,0.60699,0,0,0.12674,0,0,0,0,0,0,0.85886,0,0.3829,0.65734,0,0,0,0.41086,0,0.15984,0,0,0,0,0,0,0,0,0,0,0,1.73257,6.96823,0,7.75911,0,0.84991,0,0,0,0,0,0,0,0.02131,0,0,0,0,0,0,2.81847,0.18512,0,0,0,0,0.08465,0,0,0,0,1.46401,1.16679,0,0,0,1.13585,1.13104,0,3.20947,0,0.69084,0,0,0,0,0.69122,25.84838,0,0,0,0,0,0,0,5.00144,0,7.87159,1.93461,0.02339,0.03462,0,0,0,0,0,0,0,0,0,0
"3-rB",0,0,0,0.01089,0.14148,0,22.87073,0,0,0,0,0,0,0.0924,0.06625,38.46333,0.41948,7.11103,0.29537,0.6332,0,0,0.13062,0,0,0,0,0.0588,0,0.21886,0.00798,0.81722,0.92721,0,0,0,1.11884,1.04248,0,0,0,0.08961,0.53089,0.58337,0,0,0,0.02221,0,0,0.25869,0,0.01498,3.70578,3.16158,0.55369,0,0,0,0.09854,0,0,0,0.24749,0.12525,0,0,0.14737,0,0.44102,1.31043,2.82775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25092,2.47789,0,1.84159,0,0,0,0,0,0.19049,0.96732,0,0,0,0,0,0.5563,0,0,0.01797,0,0.15876,2.63261,0.78617,0,0,0,0,1.57516,0,0,0,0,0,0
"3-rP",0,0,0,0,0.08611,0,32.61127,0,0,0,0,0,0,0.75064,0,44.52973,1.17203,0.67819,0.3545,0.99142,0,0,0.63603,0,0,0,0,0,0,0.01406,0,0.69275,0.54767,0,0,0,0.32852,1.07458,0,0,0,0,0.63543,0.15093,0,0,0,0.20882,0,0,0.32088,0,0,1.35794,2.50889,0.88982,0,0,0,0.04925,0,0,0,0.15019,0.06892,0,0,0,0.34137,0.70204,0,0.07055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57343,0,0,2.8061,0,0,0,0,0,0.23081,1.63506,0,0,0,0,0,0,0,0,0.32297,0,0.09034,1.07685,0.64205,0,0,0,0,0.69987,0,0,0,0,0,0
"3-tB",0,0,0,0,0,0,32.9385,0,0,0,0,0,0,0.3588,0,39.25388,0.6213,4.0442,0.09797,1.48817,0,0,0.32604,0,0,0,0,0,0,0.60128,0,0.05513,0.37864,0,0,0,0.01069,0.5607,0,0,0,0.05821,0.13126,0.26879,0,0,0,0,0.08165,0,0.09089,0,0,0.84732,0.81651,0.31483,0,0,0,0.01683,0,0,0,0.1591,0.03998,0,0.05557,0.17058,0,0.31748,0.15279,0.79587,0.02199,0.02655,0,0,0,0.40645,0,0,0,0,0,0,0,0,0.6748,1.14438,0,4.25468,0,0,0,0,0,0.01109,0.348,0,0,0,0,0,1.27815,0,0,0.47144,0,0.17451,2.59125,2.17064,0,0,0,0,1.37313,0,0,0,0,0,0
"5-rB",0,0,0,0,0,0,0.08947,0,0,0,0,6.46377,0,0,0,0.14144,0,8.72913,0,41.97001,0,0,0,0,0,0.18545,0,0,0,0,0.19817,0.05242,15.2852,0,0,0,0,0,0,0,0,7.2146,1.72008,0.07297,0,0,0,1.08282,0,0,2.01699,0.13955,0,0.94467,0,0.43228,0,0,0,1.09044,0,0,0,0,0,0,0.01425,0,0,1.04108,0.0471,0,0,0.03158,0.0123,0,0,0,0,0.00257,0,0,0,0,0,0.43393,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86787,0,0.14886,1.05661,0.28757,0,7.08422,0,0,1.1399,0,0,0,0,0,0
"5-tB",0,0,0,0,0,0,0,0,0,0,0,1.82726,0.11268,0,0,38.00251,0,0.19831,0.048,9.65856,0,0,0,0,0,0.13042,0,0,0,0,0,4.72246,2.38497,0,0,0,0,0,0,0,0,2.0273,0.00621,0,0,0,0,0.04396,0,0,0.17832,0,0,0.02324,1.82276,0.81506,0,0,0,0.01195,0,0,0,0,0,0,0,0,0,0.16367,1.94141,0,0,0,0,0,0.16171,0,0,0.48185,0,0,0,0,0,0.23716,0,0,0,3.66409,0,0.03998,0,0,0,0,0,0,0,0.96733,0,0,0,0,0,6.71968,0,0.04213,21.36165,0.65461,0,1.19392,0,0,0.35684,0,0,0,0,0,0
"5-tP",0,0,0,0,0,0,0,0,0,0,0,0,0.07717,0.03278,0,56.12969,0,0,0,14.4759,0,0,0,0,0,0.65687,0,0,0,0,0,1.82735,2.6067,0,0,0,0,0,0,0.07034,0,1.05532,0.3141,0.00248,0,0,0,0.12249,0,0,0.45143,0,0,0.03488,0.89905,0.8835,0,0,0,0.20809,0,0,0,0,0.04033,0,0,0.10181,0,0.95112,0.74893,0,0,0,0,0,0.14103,0,0,0,0,0,0,0,0,0.24964,0,0,0,2.08997,0,0.0402,0,0,0,0,0,0,0,1.70012,0,0,0,0,0,1.9072,0,1.25452,8.53886,1.39416,0,0.90664,0,0,0.02862,0,0,0.0587,0,0,0
"52-rB",0,0,0,0,0,3.04031,16.93667,0,0,0,0,0.5863,0,0.09358,0,23.58346,0,4.58643,0,2.59731,0,0,0,0,0,0,0,0.01565,0,0,0,0.93268,1.24715,0.06532,0,0.07419,0.44327,0,0,0,0,0.38859,0.89962,0,0,0,0,0.19006,0,0,22.82961,4.09793,0,3.08539,0.51064,2.40792,0,0,0.21882,0.16695,0,0,0,0,0.05672,0.09797,0.11695,0.74927,0,0.26107,0.39283,0.77826,0,0,0,0,0.19537,0,0,0,0,0,0,0,0,0.83458,0.5637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30482,1.6691,0,1.79527,0,0.18581,2.13328,0.74568,0,0,0,0,0.12149,0,0,0,0,0,0
