"","g__Absiella","g__Acidaminococcus","g__Actinomyces","g__Adlercreutzia","g__Agathobaculum","g__Akkermansia","g__Alistipes","g__Allisonella","g__Anaerococcus","g__Anaeroglobus","g__Anaeromassilibacillus","g__Anaerostipes","g__Anaerotignum","g__Anaerotruncus","g__Asaccharobacter","g__Bacteroides","g__Barnesiella","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brachyspira","g__Butyricicoccus","g__Butyricimonas","g__Campylobacter","g__Candidatus_Gastranaerophilales_unclassified","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Christensenella","g__Citrobacter","g__Cloacibacillus","g__Clostridiales_unclassified","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprobacter","g__Coprococcus","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Dialister","g__Dielma","g__Dorea","g__Eggerthella","g__Eisenbergiella","g__Enorma","g__Enterococcus","g__Enterorhabdus","g__Erysipelatoclostridium","g__Escherichia","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Faecalibacterium","g__Faecalitalea","g__Firmicutes_unclassified","g__Flavonifractor","g__Fusicatenibacter","g__Fusobacterium","g__Gemella","g__Gemmiger","g__Gordonibacter","g__Haemophilus","g__Hafnia","g__Harryflintia","g__Holdemanella","g__Holdemania","g__Hungatella","g__Intestinibacter","g__Intestinimonas","g__Klebsiella","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Lactobacillus","g__Lactococcus","g__Lactonifactor","g__Lawsonella","g__Lawsonibacter","g__Marvinbryantia","g__Massiliomicrobiota","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Methanosphaera","g__Mitsuokella","g__Monoglobus","g__Odoribacter","g__Oscillibacter","g__Oxalobacter","g__Parabacteroides","g__Paraprevotella","g__Parasutterella","g__Parvimonas","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcaceae_unclassified","g__Phascolarctobacterium","g__Prevotella","g__Propionibacterium","g__Proteobacteria_unclassified","g__Pseudoflavonifractor","g__Pseudomonas","g__Pyramidobacter","g__Raoultella","g__Romboutsia","g__Roseburia","g__Rothia","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Sanguibacteroides","g__Sellimonas","g__Serratia","g__Slackia","g__Streptococcus","g__Sutterella","g__Turicibacter","g__Turicimonas","g__Tyzzerella","g__Veillonella","g__Victivallis"
"85-rP",0,0,0,0.02726,0,0,3.13627,0,0,0,0.02854,0,0,0.05672,0.02774,39.78159,0,0.80276,0,2.34385,0,0,0,0,0,0.08495,0,0,0,0,0,0.90672,0,0,0.08547,0,0,0,0,0,0.11263,0.83884,0.13261,0,0,0,0,0,0,0,9.84144,2.55634,0,0.05467,1.50232,0,0,0,0,0,0,0,0,0,0,0.40462,0.07325,0,31.46463,0.17954,0,0.86179,0,0,0,0,0.03468,0,0,0,0,0,0,0,0,0,1.02392,0,0,3.33531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513,0,0.21563,0,0.07863,0,0,0.00216,0,0,0,0,0,0
"85-tB",0,0,0,0.0089,0,0,0.80652,0,0,0,0,0,0,0,0.00931,51.907,0,2.68336,0,6.67695,0,0,0,0,0,0.08024,0,0,0,0,0,0.95989,0,0,0,0,0.00148,0,0,0,0,2.9626,0.12728,0,0,0,0,0.04402,0,0,8.0866,2.31113,0,0.52069,0.96421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13065,0,13.86766,1.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49606,0,0,5.96506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741,0,0,0,0.20017,0,0,0,0,0.10684,0,0,0,0
"85-tP",0,0,0,0.06737,0,0,4.0782,0,1.46126,0,0.00617,0,0.19114,0.46775,0.06416,50.52908,0,0.9851,0,2.28894,0,0,0,0,0,0.01999,0,0,0.34889,0,0,0.74086,0,0,0.43872,0,0,0,0,0,0.13773,1.61725,1.53775,0.00921,0,0.28987,0,0.81431,0.83698,0,4.13512,3.42353,0,1.13774,1.60303,0,0,0.42949,0,0.09586,0,0,0,0,0,1.41887,0.03477,0,4.1953,2.05116,0,2.58934,0,0,0,1.28449,0.00735,0,0,0,0,0,0,0,0,0,2.9692,0,0,4.20195,0,0,0,0.76448,0.00473,0,0,0,0,0,0,1.72733,0,0,0,0.04183,0,0.15734,0,0.54074,0,0.24371,0,0,0,0,0,0,0.01194,0,0
"95-rB",0,0,0,0.0589,0.55832,0,23.02894,0,0,0.36378,0,0.00315,0,0.10824,0.15669,32.29623,0,1.02774,0.15787,4.2308,0,0,0,0,0,0,0,0,0,0,0,0.22577,0,0,0,0,0,0,0,0.06852,0,0,0,0.12876,0,0,0,0,0.29588,0,0.97895,0.57065,0,0.12367,0.75371,0,0,0,0,0,0,0.48486,0.11317,0,0,0.02458,0.01024,0.78883,0,2.13052,0,0,0,0,0,0,0.40306,0,0,0,0,0,0,0,0,0,1.28008,0,0,16.40089,0,0.08417,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50866,0,0.08767,3.95813,0.35973,0,0.18927,0,0,0.03955,0,0,0,0,0,0
"95-rP",0,0,0,0.09634,0.47538,0,18.01674,0,0,0.51944,0,0.46387,0,0.1553,0.19678,43.93056,0,5.83729,0.20424,4.10685,0,0,0,0,0,0,0,0,0,0,0,0.06022,0,0,0,0,0,0,0,0.21506,0,0,0.04361,0.07157,0,0,0,0.01012,4.13861,0,0.35374,0.06348,0,0.02317,1.01971,0,0,0,0,0,0,0,0,0,0,0,0,0.97341,0,1.64382,0,0,0,0,0,0,0.29355,0,0,0,0,0,0,0,0,0,0.82316,0,0,9.39512,0,0.23083,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20768,0,0.06379,0.81381,0.04449,0,0.35299,0,0,0.15524,0,0,0,0,0,0
"95-tB",0,0,0,0.09701,0.59875,0,14.23061,0,0,0.37291,0,0.89557,0,0,0.21122,45.90184,0,2.48717,0.15144,5.01414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956,0,0,0.04897,0.10415,0,0,0,0.09807,0.67291,0,1.64465,2.21046,0,0.15414,1.15418,0,0,0,0,0,0,0,0,0,0.02515,0,0,0.80256,0,1.17116,0,0,0.00933,0,0,0,0.65976,0,0,0,0,0,0,0,0,0,0.81744,0,0,9.64873,0,0.10717,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46352,0,0.79665,2.67828,0.30933,0,0.36711,0,0,0,0,0,0,0,0,0
"95-tP",0,0,0,0.03399,0.75819,0,14.19438,0,0,0.69324,0,0.21373,0,0,0.10542,50.27214,0,1.86485,0.12666,5.20185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10776,0,0,0.14337,0.00653,0,0,0,0.15935,5.48164,0,0.81449,0.01378,0,0.0286,1.15999,0,0,0,0,0,0,0,0,0,0.00626,0,0,0.09949,0,1.32291,0,0,0,0,0,0,0.52811,0,0,0,0,0,0,0,0,0,0.83183,0,0,11.02965,0,0.31435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56681,0,0.47552,0.0508,0,0,0.37892,0,0,0.00855,0,0,0.00681,0,0,0
"96-rB",0,0,0,0.0358,0.18779,1.0274,8.0367,0,0,0,0,1.24951,0.03784,0,0.03516,31.33873,0,2.32266,0,3.5973,0,0,0,0,0,0.07101,0,0,0,0,0,0.13833,0.35702,0,0,0,0,0,0,0,0,0.03704,0.00235,0,0.05154,0,0,0,0,0,1.82063,11.24938,0,0.42468,0.09523,0,0,0,0,0.00093,0,0,0,0,0,0,0,0.02781,0,0.02671,0,3.98595,0,0,0,0,1.16661,0,0,0,0,0,0,0,0,0.06891,1.1727,1.20172,0,9.54076,0,0.99279,0,0,0,0,0.29877,0,0,0.09056,0,0,0,0,0,4.79162,0.01314,5.37213,7.45901,0.04957,0,0.07969,0,0,1.45836,0,0,0.08613,0,0,0
"96-rP",0,0,0,0,0.17002,0.07644,8.13868,0,0,0,0,1.86874,0,0,0,32.76989,0,2.48612,0,2.66703,0,0,0,0,0,0,0,0,0,0,0,0,0.06946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38484,13.3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43204,0,0,0,0,0.13294,0,0,0,0,0,0,0,0,0,0.30487,0.31848,0,10.33618,0,0.85971,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8986,0,1.39338,7.01616,0,0,0,0,0,2.3545,0,0,0,0,0,0
"96-tB",0,0,0,0.03179,0.28137,2.13958,13.28909,0,0,0,0,1.20477,0.02945,0,0.04403,24.76411,0,1.11094,0,2.91009,0,0,0,0,0,0,0,0,0,0,0,0.32847,0.54672,0,0,0,0,0,0,0,0,0.02974,0,0,0.09959,0,0,0.02301,0,0,5.81324,10.33285,0,0.45663,0.16015,0,0,0,0,0.04889,0,0,0,0,0,0,0,0.0962,0,0.07959,0,4.80643,0.33101,0,0,0,0.90523,0,0.01007,0,0,0,0,0,0,0.13677,1.17858,2.31367,0,9.14839,0,1.14579,0,0,0,0,0.39644,0,0,0.11127,0,0,0,0,0,1.33669,0,4.8752,6.78178,0.00108,0,0.18969,0,0,2.36484,0,0,0.14679,0,0,0
"96-tP",0,0,0,0.0013,0.10434,1.38594,10.36215,0,0,0,0,1.21716,0.073,0,0.00521,35.35706,0,0.45747,0,4.42288,0,0,0,0,0,0.05239,0,0,0,0,0,0.29519,0.45084,0,0,0,0,0,0,0,0,0.03223,0,0.00389,0.04061,0,0,0,0,0,2.53213,7.53935,0,0.21081,0.11776,0,0,0,0,0,0,0,0,0,0,0,0,0.05302,0,0.06417,0,1.92778,0,0,0,0,0.40349,0,0,0,0,0,0,0,0,0.04084,1.72788,2.15801,0,12.72266,0,1.68815,0,0,0,0,0.66844,0,0,0.13408,0,0,0,0,0,4.50134,0,1.59326,7.12459,0.0363,0,0.07693,0,0,0.2915,0,0,0.12587,0,0,0
"97-rB",0,0,0,0.01788,0,45.37265,8.62453,0,0,0,0,2.21317,0,0,0.03747,13.64507,1.54558,0.78915,0.1507,3.52142,0,0,0.02048,0.10773,0,0,0,0,0,0,0,0.26576,1.93232,0,0,0.06995,0.08528,0,0,0.01548,0,0.08343,0.23353,0.16369,0,0,0,0.00141,0,0,3.49877,0.10544,0,0.09197,0.25806,0.0752,0,0,0,0.00118,0,0,0,0.17496,0,0,0,0,0,0.08232,0.62737,0.31243,0,0,0,0,0,0,0,0,0,1.77848,0,0,0,0.05153,0.24394,8.31267,0.12281,4.28605,0,0.1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14102,0,0.33321,0.4242,0.01766,0,0,0,0,0.03847,0,0,0,0,0,0
"97-rP",0,0,0,0.00977,0,19.57502,16.59248,0,0,0,0.06876,1.06558,0,0,0.01534,27.65474,1.64321,2.33411,0.05996,2.0027,0,0,0.01748,0,0,0,0,0,0,0,0.00429,0.09656,0.92381,0,0,0.52481,0.1589,0,0,0.01849,0,0.54968,0.11367,0.29658,0,0,0,0,0,0,6.66208,1.56078,0,0.1655,0.05965,1.32234,0,0,0.0144,0,0,0,0,0.06232,0,0,0,0.00209,0,0.06484,0.26062,1.06424,0,0,0,0,0,0,0,0,0,0.57488,0,0,0,0.58932,0.52424,2.56316,0.04218,5.93511,0,0.41772,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21026,0,0.69471,1.60745,0.81218,0,0,0,0,0.06401,0,0,0,0,0,0
"97-tP",0,0,0,0.06086,0.03319,17.37492,10.68007,0,0,0,0.05742,0.62668,0,0,0.06966,28.3409,1.79924,0.29077,0.08571,2.61679,0,0,0.03777,0,0,0,0,0,0,0,0,0.6736,0.77179,0,0,0.37479,0.22972,0,0,0.09455,0,0.49623,0.02994,0,0,0,0,0,0,0,10.22352,3.2712,0,0,0.00375,0.50452,0,0,0,0,0,0,0,0.02756,0,0,0,0.20849,0,0.04097,0.89301,2.17622,0,0,0,0,0.08909,0,0,0,0,0.73979,0,0,0,0.21539,0.74881,1.41361,0.03581,7.0151,0,0.89694,0,0,0,0,0,0,0,0.01184,0,0,0,0,0,2.7351,0,2.5723,1.3028,0.1296,0,0,0,0,0,0,0,0,0,0,0
"99-rB",0,0,0,0.00547,1.15904,0,19.25726,0,0,0,0,0.49635,0,0,0.00242,36.70337,3.28672,0.20595,0,1.7506,0,0,0,0,0,0,0.08661,0,0,0,0,2.58752,1.01483,0,0,0,1.13467,0,0,0.0201,0,1.4905,0,0,0,0,0,0.1192,0,0,0.86761,8.92638,0,0,0.16436,1.5424,0,0,0.81817,0,0,0,0,0,0,0,1.10844,0,0,0,0.41355,0.13926,0,0,0,0,0.74151,0,0,0,0,0,0,0,0,0.30078,1.32803,0.23166,0,4.31612,0,2.41525,0,0,0,0,0,0,0,0.04943,0,0,0,0,0,4.20884,0,0.10643,2.63854,0.13925,0,0.10335,0,0,0.09279,0,0,0.02723,0,0,0
"99-rP",0,0,0,0,0,0,39.70107,0,0,0,0,0.11984,0,0,0,40.93414,4.44484,0.05398,0,0.33415,0,0,0,0,0,0,0.10344,0,0,0,0,0.32326,0.60058,0,0,0,0.11749,0,0,0,0,0.0641,0,0,0,0,0,0.06411,0,0,0.58432,4.46966,0,0,0,0.02152,0,0,0.2132,0,0,0,0,0,0,0,0,0,0,0,0.22498,0.13717,0,0,0,0,0.19315,0,0,0,0,0,0.03086,0,0,0.07093,1.04174,0.6922,0,1.84262,0,0.44355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26873,0,2.68421,0.15738,0.06275,0,0,0,0,0,0,0,0,0,0,0
"99-tB",0,0,0,0.00247,0.30408,0,25.85477,0,0,0,0,0.59604,0,0,0.00652,32.3692,5.00414,0.10877,0,2.62204,0,0,0,0,0,0,0.01984,0,0,0,0,0.28375,1.06376,0,0,0,0.61393,0,0,0.05162,0,0.88454,0,0,0,0,0,0.10804,0,0,2.08209,4.45366,0,0,0.08039,1.62483,0,0,1.29575,0,0,0,0,0,0,0,0.08519,0,0,0,0.73609,0.20628,0,0,0,0,0.41324,0,0,0,0,0,0,0,0,0.04048,1.2312,0.38052,0,2.6626,0,0.68405,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88861,0,0.18224,6.97253,0.08673,0,0,0,0,0,0,0,0,0,0,0
"99-tP",0,0,0,0,0.07342,0,30.74819,0,0,0,0,0.05694,0,0,0,46.90304,4.51277,0.09813,0,0.89042,0,0,0,0,0,0,0.01472,0,0,0,0,0.30799,1.0293,0,0,0,0.28385,0,0,0.00646,0,0.29257,0,0,0,0,0,0.04713,0,0,0.68303,3.7859,0,0,0.09986,0.29147,0,0,0.29305,0,0,0,0,0,0,0,0.08989,0,0,0,0.25827,0.249,0,0,0,0,0.34995,0,0,0,0,0,0.03713,0,0,0.04029,1.39763,1.05916,0,2.36737,0,0.45892,0,0,0,0,0,0,0,0.00715,0,0,0,0,0,1.57245,0,0.34034,1.25245,0.10176,0,0,0,0,0,0,0,0,0,0,0
