"term","estimate","std.error","statistic","p.value","padj"
"`s__unclassified-g__Blautia`",2458.12760181492,841.589542242328,2.92081528872792,0.00486339163843593,0.133347412598046
"`s__Bacteroides uniformis`:treatmentPD1",-6323.2762191669,2205.5594292879,-2.86697158788801,0.00565474866971432,0.1515215609453
"`s__unclassified-g__Lachnospiraceae_NK4A136_group`",-5516.49144987628,1947.06905691227,-2.83322845190942,0.00620964828154399,0.160499735764191
"`s__Bilophila wadsworthia`",24157.088081809,8535.51310271725,2.83018581204201,0.00626207620454011,0.160499735764191
"g__Blautia",2183.12960200748,795.298538254388,2.74504415260119,0.00790526228625222,0.198031325042749
"f__Bacteroidaceae:treatmentPD1",-1299.03986696116,476.711759373637,-2.72500067686185,0.00834570282903232,0.198031325042749
"g__Bacteroides:treatmentPD1",-1299.03986696116,476.711759373637,-2.72500067686185,0.00834570282903232,0.198031325042749
"`s__unclassified-g__Bacteroides`",1379.89337159613,506.866036972202,2.72240251061014,0.00840441325698877,0.198031325042749
"g__Clostridium_sensu_stricto_3",6353247.20976666,2347224.00761971,2.70670681159631,0.00873420602393802,0.198031325042749
"`s__unclassified-g__Clostridium_sensu_stricto_3`",6353247.20976666,2347224.00761971,2.70670681159631,0.00873420602393802,0.198031325042749
"`s__unclassified-g__Gordonibacter`",9529870.81465,3546336.41973678,2.68724387275061,0.00923696223805585,0.198519133522722
"g__Lachnospiraceae_NK4A136_group",-5300.9046420372,1975.1058838365,-2.68385846319315,0.00932098342674702,0.198519133522722
"g__Dielma",469467.941280309,175232.138728274,2.67912007858498,0.00943975667345182,0.198519133522722
"`g__Ruminococcaceae_UCG-003`",1413703.73118956,529169.556258199,2.67155151778946,0.00959761714231989,0.198519133522722
"`s__unclassified-g__Ruminococcaceae_UCG-003`",1413703.73118956,529169.556258199,2.67155151778946,0.00959761714231989,0.198519133522722
"`s__Blautia faecis`",17225.8572666882,6491.72467059835,2.65351014418491,0.0101059652306075,0.205429879429073
"f__Marinifilaceae:treatmentPD1",-49501.7221002002,18727.6847210574,-2.64323768995003,0.0103850346732298,0.207524675927762
"g__Coprobacillus",-18792.1054072606,7147.21287348723,-2.62929140909883,0.0107751523052224,0.208515951924059
"g__Flavonifractor",-30488.5974036106,11624.9382892057,-2.62268896789936,0.0109644560827218,0.208515951924059
"`s__Flavonifractor plautii`",-30488.5974036106,11625.0547544886,-2.62266269256397,0.0109652154531736,0.208515951924059
"g__Eggerthella",-460469.986835494,176000.168919687,-2.6163042323307,0.0111503916899486,0.208671615911896
"`s__Hungatella hathewayi`",964175.68249009,370576.672629334,2.601825084264,0.0115444552783628,0.211968505358266
"`s__Bacteroides finegoldii`",64497.1130023091,24942.6987981445,2.58581132395774,0.0120785772381679,0.211968505358266
"g__Marvinbryantia:treatmentPD1",67856.7105702311,26333.9143484187,2.5767802565328,0.0123666409275023,0.211968505358266
"`s__unclassified-g__Marvinbryantia`:treatmentPD1",67856.7105702311,26333.9143484187,2.5767802565328,0.0123666409275023,0.211968505358266
"g__Marvinbryantia",-65085.9075272387,25355.1823768943,-2.56696664846514,0.0126867196252496,0.211968505358266
"`s__unclassified-g__Marvinbryantia`",-65085.9075272387,25355.1823768943,-2.56696664846514,0.0126867196252496,0.211968505358266
"g__Butyricimonas",41181.2150348157,16165.3626164827,2.54749714014,0.0133440573780153,0.211968505358266
"f__Defluviitaleaceae",-97314.0067860812,38439.3632390348,-2.53162379878499,0.0139026300844166,0.211968505358266
"`g__Defluviitaleaceae_UCG-011`",-97314.0067860812,38439.3632390348,-2.53162379878499,0.0139026300844166,0.211968505358266
"`s__unclassified-g__Defluviitaleaceae_UCG-011`",-97314.0067860812,38439.3632390348,-2.53162379878499,0.0139026300844166,0.211968505358266
"`s__unclassified-g__Eisenbergiella`",78105.0381566226,30894.0639776237,2.52815680750818,0.0140274100155629,0.211968505358266
"`g__Ruminococcaceae_UCG-013`",23310.2366343153,9268.99098176139,2.51486237069202,0.0145153264068789,0.211968505358266
"`s__unclassified-g__Ruminococcaceae_UCG-013`",23310.2366343153,9268.99098176139,2.51486237069202,0.0145153264068789,0.211968505358266
"`s__Eggerthella lenta`",-440761.311061786,175428.038579684,-2.51249067498169,0.0146039634994588,0.211968505358266
"g__Eisenbergiella",74019.4637775534,29566.6385400659,2.50347917221801,0.0149452227461195,0.211968505358266
"o__Enterobacteriales",-7707.56718252768,3086.18580508354,-2.49744107105666,0.0151778902546107,0.211968505358266
"f__Enterobacteriaceae",-7707.56718252768,3086.18580508354,-2.49744107105666,0.0151778902546107,0.211968505358266
"`s__Dielma fastidiosa`",437583.77651438,175471.803446344,2.4937555089766,0.0153215075237794,0.211968505358266
"`s__unclassified-g__Gordonibacter`:treatmentPD1",-10157988.8365774,4078469.08984036,-2.49063769096139,0.0154439566829894,0.211968505358266
"`g__Escherichia/Shigella`",-7685.63095832028,3086.12493014551,-2.49038231837163,0.0154540251670763,0.211968505358266
"`s__unclassified-g__Escherichia/Shigella`",-7685.63095832028,3086.12493014551,-2.49038231837163,0.0154540251670763,0.211968505358266
"`s__Parabacteroides goldsteinii`",10898.8322986329,4411.79778674057,2.47038346394497,0.0162611277040802,0.211968505358266
"`s__Coprobacillus cateniformis`",-18608.2284830286,7535.91356540767,-2.46927307771237,0.0163070323803136,0.211968505358266
"p__Tenericutes",-6941.20175100399,2815.19620186924,-2.46561918007532,0.01645891325267,0.211968505358266
"c__Mollicutes",-6941.20175100399,2815.19620186924,-2.46561918007532,0.01645891325267,0.211968505358266
"o__Anaeroplasmatales",-6940.72211064515,2817.22666880904,-2.46367187542609,0.0165403753120954,0.211968505358266
"f__Anaeroplasmataceae",-6940.72211064515,2817.22666880904,-2.46367187542609,0.0165403753120954,0.211968505358266
"g__Anaeroplasma",-6940.72211064515,2817.22666880904,-2.46367187542609,0.0165403753120954,0.211968505358266
"`s__unclassified-g__Anaeroplasma`",-6940.72211064515,2817.22666880904,-2.46367187542609,0.0165403753120954,0.211968505358266
"p__Firmicutes",-741.872292931459,303.718437899625,-2.44263172845844,0.0174439602156102,0.220280818491956
"`s__unclassified-g__Eisenbergiella`:treatmentPD1",-77492.7843023766,31760.1117233356,-2.4399405448388,0.01756267764058,0.220280818491956
"`s__Alistipes putredinis`",25808.1669094212,10620.4888500754,2.4300356860916,0.0180058881227684,0.223462548386778
"`s__unclassified-g__Lachnospiraceae_NK4A136_group`:treatmentPD1",5517.49377083175,2285.96765025107,2.41363598046795,0.0187618179523424,0.229498631126699
"g__Eisenbergiella:treatmentPD1",-73517.1346496155,30491.21173915,-2.41109258885967,0.0188815667678454,0.229498631126699
"`s__Bacteroides vulgatus`:treatmentPD1",-11066.0542699424,4639.18296803113,-2.38534551152632,0.0201328880947115,0.240085166897619
"`s__Butyricimonas virosa`",39338.5821514334,16495.4978492198,2.38480720685214,0.0201598231746092,0.240085166897619
"g__Dielma:treatmentPD1",-457242.434248856,192076.503718311,-2.380522476187,0.0203753686499505,0.240225596382917
"`s__Butyricicoccus desmolans`",1405332.20732572,594141.542326907,2.36531551357585,0.0211570784049397,0.245970716097703
"g__Erysipelatoclostridium:treatmentPD1",-255648.495676538,108189.399009284,-2.36297177004006,0.0212799092807173,0.245970716097703
"g__Erysipelatoclostridium",254307.102232605,107907.342756885,2.35671730704702,0.0216108126342932,0.247370369862444
"g__Coprobacillus:treatmentPD1",19288.5081694258,8248.2399575421,2.33849988224319,0.0226009291882654,0.256216303009278
"`g__GCA-900066755`",2649541.5736877,1146892.49072567,2.31019175303106,0.0241655143534195,0.268784353044166
"`s__unclassified-g__GCA-900066755`",2649541.5736877,1146892.49072567,2.31019175303106,0.0241655143534195,0.268784353044166
"g__Lachnospiraceae_NK4A136_group:treatmentPD1",5300.15612284882,2306.67455257006,2.29774768917595,0.0249633029154879,0.27506293586318
"`g__GCA-900066225`",496770.427970928,219018.475652107,2.26816676762926,0.026812766041454,0.290020652870407
"`s__unclassified-g__GCA-900066225`",496770.427970928,219018.475652107,2.26816676762926,0.026812766041454,0.290020652870407
"g__Roseburia",-55771.3882066944,24779.6497460017,-2.25069316065266,0.0279613073188361,0.298200259814455
"`f__unclassified-o__Verrucomicrobiales`",3559711.50431249,1588071.07945842,2.24153159789703,0.028580686479248,0.298200259814455
"`g__unclassified-o__Verrucomicrobiales`",3559711.50431249,1588071.07945842,2.24153159789703,0.028580686479248,0.298200259814455
"`s__unclassified-o__Verrucomicrobiales`",3559711.50431249,1588071.07945842,2.24153159789703,0.028580686479248,0.298200259814455
"`s__Coprobacillus cateniformis`:treatmentPD1",19251.2453418097,8625.32736449423,2.23194373132509,0.0292418171422494,0.302421950971158
"`g__Family_XIII_UCG-001`",350960.131413955,159136.215902935,2.20540704341005,0.0311424232925143,0.314012639901731
"`s__unclassified-g__Family_XIII_UCG-001`",350960.131413955,159136.215902935,2.20540704341005,0.0311424232925143,0.314012639901731
"`g__Lachnospiraceae_UCG-006`",-9008.85340886137,4086.3861366055,-2.20460159850309,0.0312017710201108,0.314012639901731
"`s__Anaerotruncus rubiinfantis`",189466.149333456,86092.2124777999,2.2007350476945,0.0314278978018696,0.314012639901731
"`s__Dielma fastidiosa`:treatmentPD1",-421963.094952148,192556.064382986,-2.19137785301262,0.0321904480505384,0.31892889287046
"`s__Erysipelatoclostridium ramosum`:treatmentPD1",-320598.724670418,147199.706259771,-2.17798481271858,0.0332197050401737,0.326383602019707
"`s__Erysipelatoclostridium ramosum`",319126.207670366,146991.101456985,2.17105800628179,0.0337632636412058,0.328982544074229
"g__Enterococcus",-29894.1173726463,14182.5935834523,-2.10780328694786,0.0390979771874715,0.360011481148671
"`s__unclassified-g__Enterococcus`",-29894.1173726463,14182.5935834523,-2.10780328694786,0.0390979771874715,0.360011481148671
"f__Enterococcaceae",-29894.1173726464,14182.6564193364,-2.10779394838115,0.039098816057417,0.360011481148671
"`s__unclassified-g__Odoribacter`",284268.156133671,135117.877120322,2.10385303700806,0.039454222769587,0.360011481148671
"`s__Holdemania filiformis`",-235164.923865627,112310.787002949,-2.09387655577067,0.0403665224562213,0.360011481148671
"`s__unclassified-g__Holdemania`:treatmentPD1",109024.490205647,52147.0300732036,2.09071331680057,0.0406595853472584,0.360011481148671
"`s__Holdemania filiformis`:treatmentPD1",245935.551440929,118089.895396226,2.0826130010171,0.041418486564682,0.360011481148671
"`s__Alistipes finegoldii`",21853.6512641641,10538.6549574381,2.07366607526512,0.0422709558675556,0.360011481148671
"g__Lachnospiraceae_FCS020_group",-7068.82981130586,3414.18857197044,-2.07042747121206,0.0425832587110728,0.360011481148671
"`s__unclassified-g__Lachnospiraceae_FCS020_group`",-7068.82981130586,3414.18857197044,-2.07042747121206,0.0425832587110728,0.360011481148671
"`s__Akkermansia muciniphila`:treatmentPD1",-2388.65554551379,1155.2561731146,-2.06764144706876,0.0428535158832491,0.360011481148671
"o__Verrucomicrobiales:treatmentPD1",-2384.75849568095,1154.6231144566,-2.06539992645418,0.0430720306510314,0.360011481148671
"p__Verrucomicrobia:treatmentPD1",-2384.72244105823,1154.67936409774,-2.06526808671396,0.0430849130375883,0.360011481148671
"c__Verrucomicrobiae:treatmentPD1",-2384.72244105823,1154.67936409774,-2.06526808671396,0.0430849130375883,0.360011481148671
"f__Akkermansiaceae:treatmentPD1",-2383.64596115983,1154.77835779243,-2.06415884492034,0.0431934319374238,0.360011481148671
"g__Akkermansia:treatmentPD1",-2383.64596115983,1154.77835779243,-2.06415884492034,0.0431934319374238,0.360011481148671
"`o__unclassified-c__Bacteroidia`:treatmentPD1",-2291308.0550273,1112169.62881694,-2.06021455330034,0.0435812267275446,0.360011481148671
"`f__unclassified-c__Bacteroidia`:treatmentPD1",-2291308.0550273,1112169.62881694,-2.06021455330034,0.0435812267275446,0.360011481148671
"`g__unclassified-c__Bacteroidia`:treatmentPD1",-2291308.0550273,1112169.62881694,-2.06021455330034,0.0435812267275446,0.360011481148671
"`s__unclassified-c__Bacteroidia`:treatmentPD1",-2291308.0550273,1112169.62881694,-2.06021455330034,0.0435812267275446,0.360011481148671
"g__Oscillibacter:treatmentPD1",18993.7213665827,9223.11282230313,2.05936127341439,0.0436655146770653,0.360011481148671
"`s__unclassified-g__Oscillibacter`:treatmentPD1",18993.7213665827,9223.11282230313,2.05936127341439,0.0436655146770653,0.360011481148671
"g__Eggerthella:treatmentPD1",427527.19529393,208162.231103532,2.05381731848029,0.0442165947733404,0.362023369706724
"g__Roseburia:treatmentPD1",52845.1981958835,25954.3486058257,2.03608262331892,0.0460200211175292,0.372297593310544
"g__A2",-4701.98072903392,2325.84729123272,-2.02162057103148,0.0475372869781835,0.372297593310544
"`s__unclassified-g__A2`",-4701.98072903392,2325.84729123272,-2.02162057103148,0.0475372869781835,0.372297593310544
"`s__Bacteroides finegoldii`:treatmentPD1",-60296.0240797936,29890.3066766785,-2.01724340710224,0.0480049220765624,0.372297593310544
"f__Burkholderiaceae",23213.2592553452,11519.8431984433,2.01506729349251,0.0482388774331333,0.372297593310544
"o__Betaproteobacteriales",23213.2592553452,11519.8846633964,2.01506004041026,0.0482396588541848,0.372297593310544
"g__Parasutterella",23170.1854770401,11540.6509592822,2.00770178032326,0.0490380423387143,0.372297593310544
"g__Candidatus_Soleaferrea",-858141.237080239,427537.589177453,-2.0071714366244,0.0490960218845937,0.372297593310544
"`s__unclassified-g__Candidatus_Soleaferrea`",-858141.237080239,427537.589177453,-2.0071714366244,0.0490960218845937,0.372297593310544
"f__Rikenellaceae",7444.97738039447,3711.52299764936,2.00590899884216,0.0492342743650661,0.372297593310544
"g__Alistipes",7444.97738039447,3711.52299764936,2.00590899884216,0.0492342743650661,0.372297593310544
"`s__Parasutterella excrementihominis`",23168.0125017535,11551.2723435325,2.005667584725,0.0492607502599193,0.372297593310544
"o__Flavobacteriales",4161346.386489,2112351.80185049,1.97000631374165,0.053308476664723,0.400322891641455
"g__Butyricimonas:treatmentPD1",-36714.9140760789,18810.1242087773,-1.95186983714583,0.0554740353708789,0.406651530221002
"`s__Flavonifractor plautii`:treatmentPD1",29922.4578476251,15337.3539288947,1.95095307745705,0.0555854654725833,0.406651530221002
"c__Gammaproteobacteria",-6253.00113768264,3207.4970701139,-1.94949551036085,0.0557630227805916,0.406651530221002
"`s__Eggerthella lenta`:treatmentPD1",401935.678642282,206737.513295751,1.94418357962586,0.0564142104793091,0.406651530221002
"f__Defluviitaleaceae:treatmentPD1",96579.9298577346,49754.5613022265,1.94112715156053,0.056791827477752,0.406651530221002
"`g__Defluviitaleaceae_UCG-011`:treatmentPD1",96579.9298577346,49754.5613022265,1.94112715156053,0.056791827477752,0.406651530221002
"`s__unclassified-g__Defluviitaleaceae_UCG-011`:treatmentPD1",96579.9298577346,49754.5613022265,1.94112715156053,0.056791827477752,0.406651530221002
"g__Flavonifractor:treatmentPD1",29818.3804907876,15368.9521598215,1.94017003766469,0.0569105194965778,0.406651530221002
"g__Turicibacter",-1045.41453043252,542.529529891531,-1.9269265041509,0.0585746722464467,0.413530171129106
"`s__unclassified-g__Turicibacter`",-1045.41453043252,542.529529891531,-1.9269265041509,0.0585746722464467,0.413530171129106
"`f__unclassified-o__Bacteroidales`",624942.998048847,327698.632559563,1.90706623694945,0.0611477550704124,0.421455573478638
"`g__unclassified-o__Bacteroidales`",624942.998048847,327698.632559563,1.90706623694945,0.0611477550704124,0.421455573478638
"`s__unclassified-o__Bacteroidales`",624942.998048847,327698.632559563,1.90706623694945,0.0611477550704124,0.421455573478638
"g__Lachnospira",172238.32024996,90463.1456079905,1.90396121085962,0.0614846129247886,0.421455573478638
"`s__unclassified-g__Lachnospira`",172238.32024996,90463.1456079905,1.90396121085962,0.0614846129247886,0.421455573478638
"`s__unclassified-g__Coprobacillus`",-103525.722474354,54654.3523037241,-1.89418990639653,0.0628667429301784,0.428438670027054
"f__Rikenellaceae:treatmentPD1",-7367.61654907394,3930.41841999919,-1.87451201418791,0.0655726963559817,0.429055398715497
"g__Alistipes:treatmentPD1",-7367.61654907394,3930.41841999919,-1.87451201418791,0.0655726963559817,0.429055398715497
"c__Acidimicrobiia",5914567.81714999,3157112.83625454,1.87341033530077,0.0656519986041473,0.429055398715497
"o__Actinomarinales",5914567.81714999,3157112.83625454,1.87341033530077,0.0656519986041473,0.429055398715497
"f__Actinomarinaceae",5914567.81714999,3157112.83625454,1.87341033530077,0.0656519986041473,0.429055398715497
"g__Candidatus_Actinomarina",5914567.81714999,3157112.83625454,1.87341033530077,0.0656519986041473,0.429055398715497
"`s__unclassified-g__Candidatus_Actinomarina`",5914567.81714999,3157112.83625454,1.87341033530077,0.0656519986041473,0.429055398715497
"`s__Butyricimonas virosa`:treatmentPD1",-35665.538394404,19063.1633146715,-1.87091396142815,0.0660779635551977,0.429055398715497
"`s__Parabacteroides goldsteinii`:treatmentPD1",-10681.1370623508,5712.3929237137,-1.86981834145381,0.0662324703699919,0.429055398715497
"`s__unclassified-g__Roseburia`",-47367.3043672219,25476.510510516,-1.85925401155978,0.0677379782083393,0.43641025304717
"g__Subdoligranulum",27595.0298916587,14977.6632026925,1.84241223201614,0.0701215810268166,0.446882940706037
"`s__unclassified-g__Subdoligranulum`",27595.0298916587,14977.6632026925,1.84241223201614,0.0701215810268166,0.446882940706037
"`s__Bacteroides ovatus`",15501.1986872514,8451.20691802089,1.83419940342456,0.0714240743761079,0.447185828007524
"c__Erysipelotrichia",-893.082301744211,490.146442002141,-1.82207239553992,0.0732678519515488,0.447185828007524
"o__Erysipelotrichales",-893.082301744211,490.146442002141,-1.82207239553992,0.0732678519515488,0.447185828007524
"f__Erysipelotrichaceae",-893.082301744211,490.146442002141,-1.82207239553992,0.0732678519515488,0.447185828007524
"`g__GCA-900066225`:treatmentPD1",-542650.912735589,299652.137800152,-1.81093622998779,0.0749959483484761,0.447185828007524
"`s__unclassified-g__GCA-900066225`:treatmentPD1",-542650.912735589,299652.137800152,-1.81093622998779,0.0749959483484761,0.447185828007524
"g__Pseudoflavonifractor",-2862911.78042386,1594843.33612426,-1.79510533453476,0.0774336971353136,0.447185828007524
"`s__unclassified-g__Pseudoflavonifractor`",-2862911.78042386,1594843.33612426,-1.79510533453476,0.0774336971353136,0.447185828007524
"f__Ruminococcaceae",-4381.28423594554,2456.2125802718,-1.78375612564476,0.0793572833845603,0.447185828007524
"g__Fournierella",195746.52217584,110169.507033051,1.77677587426361,0.0805108267692278,0.447185828007524
"`s__unclassified-g__Fournierella`",195746.52217584,110169.507033051,1.77677587426361,0.0805108267692278,0.447185828007524
"f__Family_XIII",150515.794143166,84745.4608487717,1.776092697304,0.0806244730910847,0.447185828007524
"`s__unclassified-g__Bacteroides`:treatmentPD1",-1352.78470981896,777.877508597506,-1.73907163385916,0.0869853463557111,0.447185828007524
"`f__unclassified-o__Verrucomicrobiales`:treatmentPD1",-3968351.78197721,2306019.27663333,-1.72086669967946,0.0902623277720788,0.447185828007524
"`g__unclassified-o__Verrucomicrobiales`:treatmentPD1",-3968351.78197721,2306019.27663333,-1.72086669967946,0.0902623277720788,0.447185828007524
"`s__unclassified-o__Verrucomicrobiales`:treatmentPD1",-3968351.78197721,2306019.27663333,-1.72086669967946,0.0902623277720788,0.447185828007524
"c__Bacteroidia",512.815408102155,298.414506669771,1.71846675225358,0.0907018268467726,0.447185828007524
"p__Bacteroidetes",512.777119788339,298.420588536417,1.71830342639299,0.0907318004545006,0.447185828007524
"o__Bacteroidales",512.204420853383,298.414538347984,1.71641912518383,0.0910781984704798,0.447185828007524
"`s__Bacteroides intestinalis`",-1757.84344937918,1029.57224831738,-1.7073531772559,0.0927600831908974,0.447185828007524
"g__Humibacter",3389855.98159999,2011395.41693792,1.68532549744028,0.0968734540660805,0.447185828007524
"`s__unclassified-g__Humibacter`",3389855.98159999,2011395.41693792,1.68532549744028,0.0968734540660805,0.447185828007524
"`s__unclassified-g__Dielma`:treatmentPD1",-3503367.16984019,2080931.11690963,-1.68355749086159,0.0972963423805522,0.447185828007524
"o__Desulfovibrionales:treatmentPD1",-18779.9693897628,11192.3994637156,-1.67792165126389,0.0983969219021659,0.447185828007524
"f__Desulfovibrionaceae:treatmentPD1",-18779.9693897628,11192.3994637156,-1.67792165126389,0.0983969219021659,0.447185828007524
"`s__Alistipes shahii`",1043032.60972308,622585.26546482,1.675324919462,0.0989074338013889,0.447185828007524
"c__Deltaproteobacteria:treatmentPD1",-18757.9228036551,11196.9009611006,-1.67527808532221,0.0989166611372203,0.447185828007524
"`s__unclassified-g__Dielma`",3389855.9816,2026607.92937998,1.67267478452879,0.0994306754547443,0.447185828007524
"`s__unclassified-g__Roseburia`:treatmentPD1",44438.0077869147,26646.8518968927,1.66766445653179,0.100426093221017,0.447185828007524
"g__Ruminiclostridium_5",-7304.37232766756,4419.14190696066,-1.65289381546275,0.103408051440038,0.447185828007524
"`s__unclassified-g__Ruminiclostridium_5`",-7304.37232766756,4419.14190696066,-1.65289381546275,0.103408051440038,0.447185828007524
"g__Odoribacter",71869.1578805655,43494.7216915085,1.65236504765581,0.103516123971918,0.447185828007524
"g__Bilophila:treatmentPD1",-18937.7198774184,11494.141788991,-1.64759755230763,0.104494689095276,0.447185828007524
"`g__unclassified-f__Christensenellaceae`",291904.427808457,178862.174699719,1.63200759634349,0.107747288745607,0.447185828007524
"`s__unclassified-f__Christensenellaceae`",291904.427808457,178862.174699719,1.63200759634349,0.107747288745607,0.447185828007524
"`s__Anaerostipes caccae`",30368.0723605551,18730.6208374071,1.62130623561108,0.11002713001482,0.447185828007524
"`s__Alistipes shahii`:treatmentPD1",-999906.479526005,628425.834596253,-1.59112885638831,0.116667004742556,0.447185828007524
"g__Acetatifactor:treatmentPD1",22972.1207469839,14670.0440724036,1.56592036353849,0.122457451381276,0.447185828007524
"o__SAR86_clade",3105864.32455051,1991965.07531525,1.55919617418944,0.123959693639382,0.447185828007524
"`f__unclassified-o__SAR86_clade`",3105864.32455051,1991965.07531525,1.55919617418944,0.123959693639382,0.447185828007524
"`g__unclassified-o__SAR86_clade`",3105864.32455051,1991965.07531525,1.55919617418944,0.123959693639382,0.447185828007524
"`s__unclassified-o__SAR86_clade`",3105864.32455051,1991965.07531525,1.55919617418944,0.123959693639382,0.447185828007524
"`s__Alistipes putredinis`:treatmentPD1",-21911.4248453199,14075.8344942229,-1.55666968479297,0.124639197916575,0.447185828007524
"`s__Bacteroides stercoris`",-6659.56782636481,4282.35882014229,-1.55511672563289,0.125008484818581,0.447185828007524
"`s__Parabacteroides distasonis`",-604.590327609806,390.417378458273,-1.54857432319556,0.126573842857194,0.447185828007524
"`o__unclassified-c__Mollicutes`",-3338490.9398,2159937.45881605,-1.5456424102344,0.127199842220202,0.447185828007524
"`f__unclassified-c__Mollicutes`",-3338490.9398,2159937.45881605,-1.5456424102344,0.127199842220202,0.447185828007524
"`g__unclassified-c__Mollicutes`",-3338490.9398,2159937.45881605,-1.5456424102344,0.127199842220202,0.447185828007524
