"term","estimate","std.error","statistic","p.value","padj"
"`s__Bacteroides caccae`",12299.7153511428,2352.78873874216,5.22771770733587,2.13939946160374e-06,0.00223551706194516
"g__NS4_marine_group",21519918.11475,4369529.82217066,4.92499627890387,6.40984198044549e-06,0.00223551706194516
"`s__unclassified-g__NS4_marine_group`",21519918.11475,4369529.82217066,4.92499627890387,6.40984198044549e-06,0.00223551706194516
"f__Flavobacteriaceae",21519918.11475,4404136.09406259,4.88629725674508,7.58445144001751e-06,0.00223551706194516
"`s__Bacteroides caccae`:treatmentPD1",-12264.579742474,2770.04474569673,-4.42757459478841,3.94013707049455e-05,0.00929084321222616
"f__Flavobacteriaceae:treatmentPD1",-21857596.0785735,5257910.40462405,-4.15708796775063,0.000100677651400468,0.0178658697516306
"g__Holdemania",-165431.589163164,39941.9882197545,-4.14179655386671,0.000106073866209851,0.0178658697516306
"`s__Bacteroides vulgatus`",10389.0846102071,2550.51399219825,4.07332978450076,0.00013385807185774,0.0184257103481938
"`s__Cuneatibacter caecimuris`",339359.181183463,83650.1001120657,4.05688912181605,0.000141509208513185,0.0184257103481938
"g__Cuneatibacter",337976.45187288,83918.4923479935,4.02743712877203,0.000156282530519032,0.0184257103481938
"`o__unclassified-c__Bacteroidia`",2389723.1584801,615230.239247213,3.88427454639442,0.000251945903951127,0.0212174443398842
"`f__unclassified-c__Bacteroidia`",2389723.1584801,615230.239247213,3.88427454639442,0.000251945903951127,0.0212174443398842
"`g__unclassified-c__Bacteroidia`",2389723.1584801,615230.239247213,3.88427454639442,0.000251945903951127,0.0212174443398842
"`s__unclassified-c__Bacteroidia`",2389723.1584801,615230.239247213,3.88427454639442,0.000251945903951127,0.0212174443398842
"g__Hungatella",291168.676519514,77293.1294628902,3.76707061213389,0.000370033717122274,0.0261656499253377
"g__Acetatifactor",-30094.5620439017,8034.21536004043,-3.74579976951854,0.000396508216465685,0.0261656499253377
"`s__Bacteroides uniformis`",6237.67272354385,1668.22777446621,3.7391013499579,0.000405214047867135,0.0261656499253377
"`s__unclassified-g__Acetatifactor`",-30109.9023998896,8061.05262215584,-3.73523208583609,0.000410325880111855,0.0261656499253377
"g__Hungatella:treatmentPD1",-297596.575192313,79852.9276401891,-3.72680857154367,0.000421668658678046,0.0261656499253377
"`s__Akkermansia muciniphila`",2957.22141538866,862.074516993057,3.43035475135437,0.00107763949540019,0.0476771176276763
"f__Bacteroidaceae",1224.9462242224,357.370061820987,3.42766883711707,0.00108662639913254,0.0476771176276763
"g__Bacteroides",1224.9462242224,357.370061820987,3.42766883711707,0.00108662639913254,0.0476771176276763
"o__Verrucomicrobiales",2952.90247107304,861.524283268951,3.42753248912335,0.00108708449919739,0.0476771176276763
"p__Verrucomicrobia",2952.86641645032,861.590000867546,3.42722920818143,0.00108810411427655,0.0476771176276763
"c__Verrucomicrobiae",2952.86641645032,861.590000867546,3.42722920818143,0.00108810411427655,0.0476771176276763
"f__Akkermansiaceae",2952.00388021238,861.617296288073,3.42611956947694,0.00109184238842007,0.0476771176276763
"g__Akkermansia",2952.00388021238,861.617296288073,3.42611956947694,0.00109184238842007,0.0476771176276763
"f__Marinifilaceae",53911.3910559136,15943.729892803,3.38135376216134,0.00125321088283464,0.0527691296736444
"g__Holdemania:treatmentPD1",160702.270606142,48390.408197438,3.32095298618807,0.00150691732801536,0.0612639837837971
"g__Oscillibacter",-19564.572207195,6000.29179905122,-3.2606034610331,0.00180826396942843,0.0687723619340683
"`s__unclassified-g__Oscillibacter`",-19564.572207195,6000.29179905122,-3.2606034610331,0.00180826396942843,0.0687723619340683
"`s__unclassified-g__Parabacteroides`",9150.05259546009,2837.65701262095,3.22450971162608,0.00201471181461618,0.0742295384197648
"`s__unclassified-g__Hungatella`",247732.082880841,80153.1514820518,3.09073415455553,0.00298922424389803,0.106796829804721
"`s__unclassified-g__Hungatella`:treatmentPD1",-254159.98155364,82782.0349668074,-3.07023113958903,0.0031727889110421,0.110021121356431
"`s__unclassified-g__Holdemania`",-123857.477146484,41085.730103188,-3.01461059193575,0.00372511182894698,0.112710233200277
"o__Desulfovibrionales",23326.9732751418,7741.69827412391,3.01315970335741,0.0037406515587031,0.112710233200277
"f__Desulfovibrionaceae",23326.9732751418,7741.69827412391,3.01315970335741,0.0037406515587031,0.112710233200277
"`s__unclassified-g__Lachnospiraceae_UCG-006`",-12990.3079608726,4313.57971848574,-3.01149133866773,0.00375859515089071,0.112710233200277
"c__Deltaproteobacteria",23304.9266890341,7746.51780187008,3.00843905417839,0.00379163061804703,0.112710233200277
"g__Bilophila",23659.6995878018,7872.18945215557,3.00547893716192,0.00382392648686267,0.112710233200277
"`g__Ruminococcaceae_UCG-009`",175801.166144421,59554.2538478231,2.95194977328806,0.00445394184458286,0.125028510351505
"`s__unclassified-g__Ruminococcaceae_UCG-009`",175801.166144421,59554.2538478231,2.95194977328806,0.00445394184458286,0.125028510351505
