"effect","group","term","estimate","std.error","statistic","df","p.value","abs.estimate","plus.minus","log.estimate","log.std.error","sig.flag","conf.low","conf.high","log.conf.low","log.conf.high","ci95.low","ci95.high","experiment","trial","sample ID","hypothesis","Combined ID"
"fixed",NA,"days.from.injection",6.3605221647729,8.51207642931957,0.747235086243386,176.227028862733,0.455917518022073,6.3605221647729,"p",0.803492770360808,0.930035514467271,"NS",-2.15155426454667,14.8725985940925,-0.126542744106463,1.73352828482808,-10.3231476366934,23.0441919662392,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"days2",1.62435632904234,0.373451280493557,4.34958029035425,175.22018179199,2.31020115583102e-05,1.62435632904234,"p",0.210681304930975,0.427766047109355,"S",1.25090504854878,1.99780760953589,-0.21708474217838,0.63844735204033,0.892391819274963,2.35632083880971,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"treatmentAnti-PD1",137.785619061145,73.329672135476,1.87898861468502,41.1102610461307,0.0673485035809781,137.785619061145,"p",2.13920389182191,1.86527974322455,"NS",64.4559469256689,211.115291196621,0.273924148597359,4.00448363504646,-5.94053832438809,281.511776446678,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"gavagePost-BRB",74.2858606786708,75.0745950171643,0.989493991431947,37.9813516121374,0.328683623315341,74.2858606786708,"p",1.87090615947272,1.87549299811664,"NS",-0.788734338493427,149.360455695835,-0.00458683864391385,3.74639915758936,-72.8603455549711,221.432066912313,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"days2:treatmentAnti-PD1",-1.79652921534322,0.226989783236884,-7.91458183590751,175.892071431739,2.67322883966812e-13,1.79652921534322,"n",-0.254434284139712,0.64399368987163,"S",-2.02351899858011,-1.56953943210634,-0.898427974011342,0.389559405731919,-2.24142919048752,-1.35162924019893,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"days2:gavagePost-BRB",0.117760718077452,0.234723955294485,0.501698763254516,176.866280000721,0.616503370850573,0.117760718077452,"p",-0.928999554771828,0.629442585214765,"NS",-0.116963237217034,0.352484673371937,-1.55844213998659,-0.299556969557063,-0.34229823429974,0.577819670454643,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"treatmentAnti-PD1:gavagePost-BRB",-55.1830840209581,97.7411060864783,-0.564584198301724,37.9954853868443,0.575674825605018,55.1830840209581,"n",-1.74180596826815,1.99007724941014,"NS",-152.924190107436,42.5580220655202,-3.73188321767829,0.248271281141988,-246.755651950456,136.389483908539,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"days2:treatmentAnti-PD1:gavagePost-BRB",-0.18180234333669,0.303145725563718,-0.599719303310701,176.582257453194,0.549462082354202,0.18180234333669,"n",0.740400523250273,0.51834855105487,"NS",-0.484948068900409,0.121343382227028,0.222051972195403,1.25874907430514,-0.775967965441578,0.412363278768198,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random Sample (55)"
"fixed",NA,"days.from.injection",-76.7953987842524,28.2217485262121,-2.72114248034368,56.6987503012281,0.00862439730149847,76.7953987842524,"n",-1.88533519994724,1.45058391770184,"S",-105.017147310465,-48.5736502580403,-3.33591911764908,-0.434751282245402,-132.110025895628,-21.4807716728767,"mimic4","BEWELL","HONC60-84","Random Sample","Random Sample (84)"
"fixed",NA,"days2",5.38278706071591,1.02081586277437,5.27302450618918,56.7470342562262,2.17191470970776e-06,5.38278706071591,"p",0.731007199770133,0.00894741006620475,"S",4.36197119794154,6.40360292349029,0.722059789703928,0.739954609836337,3.38198796967814,7.38358615175368,"mimic4","BEWELL","HONC60-84","Random Sample","Random Sample (84)"
"fixed",NA,"treatmentPD1",141.955524591325,105.812837403357,1.34157185531461,31.146936897337,0.18943497408857,141.955524591325,"p",2.15215229896007,2.02453836028167,"NS",36.1426871879675,247.768361994682,0.127613938678401,4.17669065924174,-65.4376367192552,349.348685901904,"mimic4","BEWELL","HONC60-84","Random Sample","Random Sample (84)"
"fixed",NA,"days2:treatmentPD1",-1.61138778090094,0.348395431450584,-4.62516909074192,56.6657628181882,2.21622571454063e-05,1.61138778090094,"n",-0.207200066080143,0.457927548580593,"S",-1.95978321235152,-1.26299234945035,-0.665127614660736,0.25072748250045,-2.29424282654408,-0.928532735257793,"mimic4","BEWELL","HONC60-84","Random Sample","Random Sample (84)"
"fixed",NA,"days.from.injection",-49.6243124471517,23.8065178032938,-2.08448429363684,58.7023986831819,0.0414763036128586,49.6243124471517,"n",-1.6956945025928,1.37669587547999,"S",-73.4308302504455,-25.8177946438579,-3.07239037807279,-0.318998627112809,-96.2850873416075,-2.96353755269594,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"days2",2.59759355517923,0.933756552380533,2.78187451381935,57.8667881409268,0.00728437043296241,2.59759355517923,"p",0.414571198102711,0.0297663376234264,"S",1.66383700279869,3.53135010755976,0.384804860479285,0.444337535726138,0.767430712513382,4.42775639784507,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"treatmentPD1",20.6304345830434,151.326416902892,0.136330688357487,16.6171663169292,0.89319787848755,20.6304345830434,"p",1.31450837654464,2.17991474899944,"NS",-130.695982319849,171.956851485936,-0.865406372454798,3.49442312554407,-275.969342546625,317.230211712712,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
