"term","estimate","std.error","statistic","p.value","padj","APlab","RHlab"
"ASV391",-605690.092772222,461826.773268592,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV391","s__Howardella ureilytica"
"ASV411",-641318.921758824,488993.054049097,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV411","s__Dorea formicigenerans"
"ASV424",-320659.460879412,244496.527024549,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV424","s__unclassified-g__Lachnoclostridium"
"ASV426",-419323.910380769,319726.227647486,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV426","s__unclassified-g__Blautia"
"ASV725",-1362802.7087375,1039110.23985433,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV725","s__unclassified-f__Lachnospiraceae"
"ASV726",-1362802.7087375,1039110.23985433,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV726","s__unclassified-f__Lachnospiraceae"
"ASV1018",-2180484.33398,1662576.38376693,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV1018","s__unclassified-f__Lachnospiraceae"
"ASV1998",-5451210.83495,4156440.95941732,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV1998","s__unclassified-g__Tyzzerella_3"
"ASV85",-7482.78769382292,5705.47832452618,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV85","s__Blautia massiliensis"
"ASV143",-12603.9556877457,9610.26811425971,-1.31150926674396,0.19444541093157,0.625962231229046,"ASV143","s__Anaerostipes hadrus"
"ASV173",-9358.30186257511,7135.52096037309,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV173","s__unclassified-f__Lachnospiraceae"
"ASV233",-23598.3153028138,17993.2509065685,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV233","s__Fusicatenibacter saccharivorans"
"ASV250",-118504.583368478,90357.4121612462,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV250","s__unclassified-f__Lachnospiraceae"
"ASV273",-247782.310679545,188929.134518969,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV273","s__unclassified-g__Lachnoclostridium"
"ASV353",-102853.034621698,78423.4143286288,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV353","s__unclassified-g__Agathobacter"
"ASV401",-389372.202496428,296888.63995838,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV401","s__unclassified-f__Lachnospiraceae"
"ASV417",-474018.333473913,361429.648644985,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV417","s__unclassified-g__Marvinbryantia"
"ASV592",-991129.242718182,755716.538075877,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV592","s__unclassified-g__Anaerocolumna"
"ASV653",-1557488.80998571,1187554.55983352,-1.31150926674397,0.19444541093157,0.625962231229046,"ASV653","s__unclassified-g__Tyzzerella"
"ASV1612",-3634140.55663333,2770960.63961155,-1.31150926674396,0.19444541093157,0.625962231229046,"ASV1612","s__unclassified-f__Lachnospiraceae"
"ASV95",-6493.40182840976,4951.09107732856,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV95","s__unclassified-g__Blautia"
"ASV269",-41932.3910380769,31972.6227647486,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV269","s__unclassified-g__Dorea"
"ASV183",-21335.4631504892,16267.870682651,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV183","s__unclassified-f__Lachnospiraceae"
"ASV265",-63386.1724994185,48330.708830434,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV265","s__unclassified-f__Lachnospiraceae"
"ASV343",-330376.414239394,251905.512691959,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV343","s__unclassified-f__Lachnospiraceae"
"ASV429",-351691.021609677,268157.481252731,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV429","s__unclassified-g__CAG-56"
"ASV347",-178728.224096721,136276.752767781,-1.31150926674396,0.194445410931571,0.625962231229046,"ASV347","s__unclassified-f__Lachnospiraceae"
"ASV162:treatmentPD1",687467.041922367,524229.709072376,1.31138512378255,0.194563519298772,0.625962231229046,"ASV162","s__unclassified-f__Lachnospiraceae"
"ASV4",-103174.249456959,78779.9150808203,-1.30965169676957,0.195146013704874,0.625962231229046,"ASV4","s__Lachnospiraceae_NK4A136_group bacterium"
"ASV71",-35873.6611730526,27403.5528004231,-1.30908796513782,0.195335730007993,0.625962231229046,"ASV71","s__unclassified-f__Lachnospiraceae"
"ASV162",-681401.354368738,523519.586150658,-1.30157757683711,0.197876480453281,0.625962231229046,"ASV162","s__unclassified-f__Lachnospiraceae"
"ASV166",-222498.40142653,170975.306762751,-1.30134816330684,0.197954478631488,0.625962231229046,"ASV166","s__Blautia caecimuris"
"ASV226",-111249.200713265,85505.0542344536,-1.30108333021135,0.198044547733484,0.625962231229046,"ASV226","s__Roseburia inulinivorans"
"ASV2",-4984.53342429781,3856.81212046983,-1.29239726193627,0.201015702733418,0.628650951757474,"ASV2","s__unclassified-g__A2"
"ASV13:treatmentPD1",28339.3119021961,21991.8149626309,1.28862997212149,0.202314650096745,0.628650951757474,"ASV13","s__unclassified-g__Lachnoclostridium"
"ASV168",75584.6788192388,58672.487976528,1.28824737838758,0.202446916667661,0.628650951757474,"ASV168","s__unclassified-f__Lachnospiraceae"
"ASV124",-210361.958237303,165943.934928423,-1.26766885652097,0.209656543976199,0.647253632856753,"ASV124","s__unclassified-f__Lachnospiraceae"
"ASV291",121314.663935816,96412.9602946622,1.25828170367394,0.212933292837282,0.653569817899403,"ASV291","s__unclassified-f__Lachnospiraceae"
"ASV39:treatmentPD1",215294.377245678,173512.713592905,1.24079886013887,0.219354726110987,0.66941011244215,"ASV39","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV362:treatmentPD1",1959792.99215642,1596796.2254272,1.22732817184115,0.224339105044215,0.676731811070659,"ASV362","s__unclassified-g__Lachnospiraceae_UCG-010"
"ASV337",395312.237425001,326211.648425833,1.21182747254005,0.230176641434015,0.676731811070659,"ASV337","s__unclassified-f__Lachnospiraceae"
"ASV204",378124.748841305,312415.452700943,1.21032665181022,0.230675061777381,0.676731811070659,"ASV204","s__unclassified-g__Lachnoclostridium"
"ASV326",280544.168495162,231792.110068441,1.21032665181022,0.230675061777381,0.676731811070659,"ASV326","s__unclassified-g__Marvinbryantia"
"ASV750",1087108.65291875,898194.42651521,1.21032665181021,0.230675061777381,0.676731811070659,"ASV750","s__unclassified-f__Lachnospiraceae"
"ASV1064",1739373.84467,1437111.08242434,1.21032665181021,0.230675061777381,0.676731811070659,"ASV1064","s__unclassified-f__Lachnospiraceae"
"ASV1322",2174217.3058375,1796388.85303042,1.21032665181021,0.230675061777381,0.676731811070659,"ASV1322","s__unclassified-f__Lachnospiraceae"
"ASV58",51718.7642643868,43194.2853921008,1.19735200605599,0.235727266262608,0.686737928661654,"ASV58","s__unclassified-g__Lachnospiraceae_UCG-001"
"ASV15",22031.8006837604,18438.01222883,1.1949119249043,0.236672393493564,0.686737928661654,"ASV15","s__unclassified-f__Lachnospiraceae"
"ASV152:treatmentPD1",17225.1603181559,14597.2660648284,1.18002646808359,0.242497501185494,0.699816158312484,"ASV152","s__unclassified-f__Lachnospiraceae"
"ASV65",-41546.8662085903,35336.7165489108,-1.17574212508069,0.244122029511058,0.700696203623632,"ASV65","s__unclassified-g__Lachnoclostridium"
"ASV1246",-1185512.9153875,1035347.00954045,-1.1450392037291,0.256524304337511,0.713342198307796,"ASV1246","s__unclassified-f__Lachnospiraceae"
