"treatment.group","time.point","mean.volume","sd.volume","lwr","upr"
"PD1 x 84v3",5,219.559,142.229908714377,77.3290912856231,361.788908714377
"PD1 x 84v3",6,380.701,NA,NA,NA
"PD1 x 84v3",7,538.0825,509.55013808751,28.5323619124904,1047.63263808751
"PD1 x Fitness:DL017",1,10.0244166666667,10.2796345480599,0,20.3040512147266
"PD1 x Fitness:DL017",2,30.12,7.97428457606073,22.1457154239393,38.0942845760607
"PD1 x Fitness:DL017",3,37.374,9.36865561326704,28.005344386733,46.742655613267
"PD1 x Fitness:DL017",4,47.43325,15.9689459929264,31.4643040070736,63.4021959929264
"PD1 x Fitness:DL017",5,200.734666666667,260.604418844603,0,461.33908551127
"PD1 x Fitness:DL017",6,37.908,53.6100077224393,0,91.5180077224393
"PD1 x Fitness:DL017",7,124.8,176.493852584162,0,301.293852584162
