"treatment.group","time.point","mean.volume","sd.volume","lwr","upr"
"Anti-PD-1 x HONC-60-55.v3",1,17.3485,6.67776117048222,10.6707388295178,24.0262611704822
"Anti-PD-1 x HONC-60-55.v3",2,39.7256666666667,36.3222700327682,3.40339663389843,76.0479366994349
"Anti-PD-1 x HONC-60-55.v3",3,117.623166666667,75.9357877178695,41.6873789487972,193.558954384536
"Anti-PD-1 x HONC-60-55.v3",4,95.8386666666667,132.188530959888,0,228.027197626555
"Anti-PD-1 x HONC-60-55.v3",5,123.946666666667,211.227291166017,0,335.173957832684
"Anti-PD-1 x HONC-60-55.v3",6,146.965333333333,254.551424284629,0,401.516757617963
"Anti-PD-1 x HONC-60-55.v4",1,20.3481666666667,15.0472245973579,5.30094206930874,35.3953912640246
"Anti-PD-1 x HONC-60-55.v4",2,22.9645,21.8651203575466,1.09937964245337,44.8296203575466
"Anti-PD-1 x HONC-60-55.v4",3,54.7321666666667,69.6707245841705,0,124.402891250837
"Anti-PD-1 x HONC-60-55.v4",4,52.0356666666667,26.3659264408314,25.6697402258352,78.4015931074981
"Anti-PD-1 x HONC-60-55.v4",5,67.2768333333333,58.3215529207113,8.95528041262199,125.598386254045
"Anti-PD-1 x HONC-60-55.v4",6,70.305,85.5310454688822,0,155.836045468882
"Anti-PD1 x Fitness (DL081)",1,52.0048333333333,44.5004481166576,7.50438521667575,96.5052814499909
"Anti-PD1 x Fitness (DL081)",2,91.7565,21.213017341953,70.543482658047,112.969517341953
"Anti-PD1 x Fitness (DL081)",3,291.612666666667,80.8885655784137,210.724101088253,372.50123224508
"Anti-PD1 x Fitness (DL081)",4,181.004166666667,123.196461706834,57.807704959833,304.2006283735
"Anti-PD1 x Fitness (DL081)",5,227.328166666667,184.064483823152,43.2636828435148,411.392650489819
"Anti-PD1 x Fitness (DL081)",7,225.232,249.897475913623,0,475.129475913623
"Anti-PD1 x Saline",1,78.8025,47.2540867518355,31.5484132481645,126.056586751836
"Anti-PD1 x Saline",2,53.7741666666667,26.2394869916188,27.5346796750478,80.0136536582855
"Anti-PD1 x Saline",3,74.5523333333333,74.847111651575,0,149.399444984908
"Anti-PD1 x Saline",4,75.6753333333333,65.5559974398478,10.1193358934855,141.231330773181
"Anti-PD1 x Saline",5,14.406,24.9519239338373,0,39.3579239338372
"Anti-PD1 x Saline",7,14.994,25.9703698086877,0,40.9643698086877
"IgG x 10v3",1,54.8306666666667,36.5148027700183,18.3158638966484,91.3454694366849
"IgG x 10v3",2,82.2435,27.103566762513,55.139933237487,109.347066762513
"IgG x 10v3",3,72.594,23.0205683683092,49.5734316316908,95.6145683683092
"IgG x 10v3",4,75.7225,58.4388399311622,17.2836600688378,134.161339931162
"IgG x 10v4",1,86.0726666666667,28.9765719389533,57.0960947277134,115.04923860562
"IgG x 10v4",2,103.030166666667,12.0423774680639,90.9877891986028,115.072544134731
"IgG x 10v4",3,152.05125,61.237215017708,90.814034982292,213.288465017708
"IgG x 10v4",4,275.46325,209.600945632707,65.862304367293,485.064195632707
"IgG x 84v4",1,37.0935,23.438215987997,13.655284012003,60.531715987997
"IgG x 84v4",2,61.0680833333333,12.2039988955124,48.864084437821,73.2720822288457
"IgG x 84v4",3,119.686,43.2427990086211,76.4432009913789,162.928799008621
"IgG x 84v4",4,221.4245,88.4796846332535,132.944815366746,309.904184633254
"IgG x 84v4",5,746.528666666667,437.550900401618,308.977766265049,1184.07956706828
"IgG x 84v4",6,233.428,NA,NA,NA
"IgG x 84v4",7,1254.4721,524.260273850499,730.211826149501,1778.7323738505
"IgG x Fitness (DL081)",1,38.33,29.2181378128381,9.11186218716189,67.5481378128381
"IgG x Fitness (DL081)",2,155.202,98.1431950366402,57.0588049633598,253.34519503664
"IgG x Fitness (DL081)",3,374.615833333333,145.584039441428,229.031793891905,520.199872774762
"IgG x Fitness (DL081)",4,502.148333333333,274.972928022166,227.175405311167,777.121261355499
"IgG x Fitness (DL081)",5,656.04025,324.901777372985,331.138472627015,980.942027372985
"IgG x Fitness (DL081)",6,1106.448,727.539338735714,378.908661264286,1833.98733873571
"IgG x Fitness:DL017",1,19.0596666666667,15.9822876668726,3.07737899979411,35.0419543335392
"IgG x Fitness:DL017",2,36.4969166666667,26.4500295905632,10.0468870761035,62.9469462572298
"IgG x Fitness:DL017",3,48.8433,13.0357230169638,35.8075769830362,61.8790230169638
"IgG x Fitness:DL017",4,55.9053,32.731952190482,23.173347809518,88.637252190482
"IgG x Fitness:DL017",5,126.4754,124.244830145161,2.23056985483863,250.720230145161
"IgG x Fitness:DL017",6,263.9735,216.593835083665,47.3796649163347,480.567335083665
"IgG x Fitness:DL017",7,376.3572,225.944762757848,150.412437242152,602.301962757848
"IgG x HONC-60-55.v3",1,21.609,30.5597408693202,0,52.1687408693202
"IgG x HONC-60-55.v3",2,15.61875,22.0882480773148,0,37.7069980773148
"IgG x HONC-60-55.v3",3,134.75,190.565277529775,0,325.315277529775
"IgG x HONC-60-55.v3",4,185.34825,262.122008912119,0,447.470258912119
"IgG x HONC-60-55.v3",5,421.7855,321.642368665106,100.143131334894,743.427868665106
"IgG x HONC-60-55.v3",6,608.025,440.633590696397,167.391409303603,1048.6585906964
"IgG x HONC-60-55.v4",1,20.34475,1.82044640816477,18.5243035918352,22.1651964081648
"IgG x HONC-60-55.v4",2,27.912,9.53745626464415,18.3745437353558,37.4494562646442
"IgG x HONC-60-55.v4",3,288.625,102.707259967346,185.917740032654,391.332259967346
"IgG x HONC-60-55.v4",4,531.072,473.003524925555,58.0684750744452,1004.07552492555
"IgG x HONC-60-55.v4",5,1194.17725,63.1831728795333,1130.99407712047,1257.36042287953
"IgG x HONC-60-55.v4",6,1495.888,91.5993195416865,1404.28868045831,1587.48731954169
"IgG x Saline",1,71.0651666666667,55.0943767555577,15.970789911109,126.159543422224
"IgG x Saline",2,139.261333333333,49.0121946186185,90.2491387147149,188.273527951952
"IgG x Saline",3,1079.06616666667,872.41869894368,206.647467722987,1951.48486561035
"IgG x Saline",4,805.353833333333,633.745446349781,171.608386983552,1439.09927968311
"IgG x Saline",5,241.664,NA,NA,NA
"IgG x Saline",7,184.493,NA,NA,NA
"PD1 x 10v3",1,77.8563333333333,60.1536154552105,17.7027178781229,138.009948788544
"PD1 x 10v3",2,159.731333333333,79.4781652111656,80.2531681221677,239.209498544499
"PD1 x 10v3",3,210.686166666667,78.9223755096318,131.763791157035,289.608542176298
"PD1 x 10v3",4,151.670833333333,101.484528887823,50.1863044455106,253.155362221156
"PD1 x 10v4",1,37.4675,32.684846224971,4.78265377502902,70.152346224971
"PD1 x 10v4",2,70.1043333333333,26.2826472902433,43.82168604309,96.3869806235766
"PD1 x 10v4",3,173.6565,109.959122210256,63.6973777897441,283.615622210256
"PD1 x 10v4",4,212.124666666667,168.442788582157,43.6818780845094,380.567455248824
"PD1 x 84v3",1,32.68925,24.8025561338947,7.88669386610525,57.4918061338947
"PD1 x 84v3",2,58.45625,17.4342297585812,41.0220202414187,75.8904797585813
"PD1 x 84v3",3,82.2613333333333,47.1856561379268,35.0756771954066,129.44698947126
"PD1 x 84v3",4,160.814416666667,96.1894900227757,64.624926643891,257.003906689442
