"treatment.group","time.point","mean.volume","sd.volume","lwr","upr"
"84v3/anti-pd1",2,58.45625,17.4342297585812,41.0220202414187,75.8904797585813
"84v3/anti-pd1",3,82.2613333333333,47.1856561379268,35.0756771954066,129.44698947126
"84v3/anti-pd1",4,160.814416666667,96.1894900227757,64.624926643891,257.003906689442
"84v3/anti-pd1",5,219.559,142.229908714377,77.3290912856231,361.788908714377
"84v3/anti-pd1",6,190.3505,269.1962587045,0,459.5467587045
"84v3/anti-pd1",7,538.0825,509.55013808751,28.5323619124904,1047.63263808751
"84v4/igG",2,61.0680833333333,12.2039988955124,48.864084437821,73.2720822288457
"84v4/igG",3,119.686,43.2427990086211,76.4432009913789,162.928799008621
"84v4/igG",4,221.4245,88.4796846332535,132.944815366746,309.904184633254
"84v4/igG",5,746.528666666667,437.550900401618,308.977766265049,1184.07956706828
"84v4/igG",6,233.428,NA,NA,NA
"84v4/igG",7,1254.4721,524.260273850499,730.211826149501,1778.7323738505
"Anti-PD-1 x mimic1.post-DI",1,20.3481666666667,15.0472245973579,5.30094206930874,35.3953912640246
"Anti-PD-1 x mimic1.post-DI",2,22.9645,21.8651203575466,1.09937964245337,44.8296203575466
"Anti-PD-1 x mimic1.post-DI",3,54.7321666666667,69.6707245841705,0,124.402891250837
"Anti-PD-1 x mimic1.post-DI",4,52.0356666666667,26.3659264408314,25.6697402258352,78.4015931074981
"Anti-PD-1 x mimic1.post-DI",5,67.2768333333333,58.3215529207113,8.955280412622,125.598386254045
"Anti-PD-1 x mimic1.post-DI",6,70.305,85.5310454688822,0,155.836045468882
"Anti-PD-1 x mimic1.pre-DI",1,17.3485,6.67776117048221,10.6707388295178,24.0262611704822
"Anti-PD-1 x mimic1.pre-DI",2,39.7256666666667,36.3222700327682,3.40339663389843,76.0479366994349
"Anti-PD-1 x mimic1.pre-DI",3,117.623166666667,75.9357877178695,41.6873789487972,193.558954384536
"Anti-PD-1 x mimic1.pre-DI",4,95.8386666666667,132.188530959888,0,228.027197626555
