"treatment.group","days.from.injection","mean.volume","sd.volume","lwr","upr"
"mimic4 x IgG x 84v4",6,37.0935,23.438215987997,13.655284012003,60.531715987997
"mimic4 x IgG x 84v4",9,61.0680833333333,12.2039988955124,48.864084437821,73.2720822288457
"mimic4 x IgG x 84v4",12,119.686,43.2427990086211,76.4432009913789,162.928799008621
"mimic4 x IgG x 84v4",15,221.4245,88.4796846332535,132.944815366746,309.904184633254
"mimic4 x IgG x 84v4",18,746.528666666667,437.550900401618,308.977766265049,1184.07956706828
"mimic4 x IgG x 84v4",19,233.428,NA,NA,NA
"mimic4 x IgG x 84v4",22,1254.4721,524.260273850499,730.211826149501,1778.7323738505
"mimic4 x PD1 x 84v3",6,32.68925,24.8025561338947,7.88669386610525,57.4918061338947
"mimic4 x PD1 x 84v3",9,58.45625,17.4342297585812,41.0220202414187,75.8904797585813
"mimic4 x PD1 x 84v3",12,82.2613333333333,47.1856561379268,35.0756771954066,129.44698947126
"mimic4 x PD1 x 84v3",15,160.814416666667,96.1894900227757,64.624926643891,257.003906689442
"mimic4 x PD1 x 84v3",18,219.559,142.229908714377,77.3290912856231,361.788908714377
"mimic4 x PD1 x 84v3",19,380.701,NA,NA,NA
"mimic4 x PD1 x 84v3",22,538.0825,509.55013808751,28.5323619124904,1047.63263808751
"mimic5 x IgG x 10v3",5,54.8306666666667,36.5148027700183,18.3158638966484,91.3454694366849
"mimic5 x IgG x 10v3",7,82.2435,27.103566762513,55.139933237487,109.347066762513
"mimic5 x IgG x 10v3",10,72.594,23.0205683683092,49.5734316316908,95.6145683683092
"mimic5 x IgG x 10v3",13,75.7225,58.4388399311622,17.2836600688378,134.161339931162
"mimic5 x IgG x 10v3",16,142.511,99.6751860896181,42.8358139103819,242.186186089618
"mimic5 x IgG x 10v3",19,277.58625,240.697380548948,36.8888694510522,518.283630548948
"mimic5 x IgG x 10v3",22,440.57475,300.413962433714,140.160787566286,740.988712433714
"mimic5 x IgG x 10v4",5,86.0726666666667,28.9765719389533,57.0960947277134,115.04923860562
"mimic5 x IgG x 10v4",7,103.030166666667,12.0423774680639,90.9877891986028,115.072544134731
"mimic5 x IgG x 10v4",10,152.05125,61.237215017708,90.814034982292,213.288465017708
"mimic5 x IgG x 10v4",13,275.46325,209.600945632707,65.862304367293,485.064195632707
"mimic5 x IgG x 10v4",16,566.86925,473.312884142324,93.556365857676,1040.18213414232
"mimic5 x IgG x 10v4",19,1029.0175,671.111510490246,357.905989509754,1700.12901049025
